20200302 000000,8530.30000000,9188.00000000,8000.00000000,8033.31000000,,,,,,,,,,,,
20200309 000000,8034.76000000,8179.31000000,3782.13000000,5361.30000000,,,,,,,,,,,,
20200316 000000,5360.33000000,6900.00000000,4442.12000000,5816.19000000,,,,,,,,,,,,
20200323 000000,5816.05000000,6957.96000000,5688.00000000,5881.42000000,,,,,,,,,,,,
20200330 000000,5880.50000000,7198.00000000,5857.76000000,6772.78000000,6373.00000000,,,,,,6373.00000000,,,,,
20200406 000000,6772.78000000,7459.69000000,6739.98000000,6903.79000000,6147.09600000,,,,,,6147.09600000,,,,,
20200413 000000,6903.79000000,7293.08000000,6468.27000000,7120.74000000,6498.98400000,,,,,,6498.98400000,,,,,
20200420 000000,7121.40000000,7738.00000000,6751.00000000,7693.10000000,6874.36600000,,,,,,6874.36600000,,,,,
20200427 000000,7693.10000000,9460.00000000,7606.00000000,8894.16000000,7476.91400000,,,,,,7476.91400000,,,,,
20200504 000000,8894.15000000,10067.00000000,8117.00000000,8722.77000000,7866.91200000,7119.95600000,,,,,7866.91200000,7119.95600000,,,,
20200511 000000,8722.77000000,9939.00000000,8200.00000000,9680.04000000,8422.16200000,7284.62900000,,,,,8422.16200000,7284.62900000,,,,
20200518 000000,9681.11000000,9950.00000000,8700.00000000,8720.34000000,8742.08200000,7620.53300000,,,,,8742.08200000,7620.53300000,,,,
20200525 000000,8718.14000000,9740.00000000,8642.72000000,9448.27000000,9093.11600000,7983.74100000,,,,,9093.11600000,7983.74100000,,,,
20200601 000000,9448.27000000,10380.00000000,9266.00000000,9746.99000000,9263.68200000,8370.29800000,,59.19368061,,,9263.68200000,8370.29800000,,59.19368061,,
20200608 000000,9746.99000000,9992.72000000,9113.00000000,9342.10000000,9387.54800000,8627.23000000,,56.72915658,,,9387.54800000,8627.23000000,,56.72915658,,
20200615 000000,9342.10000000,9589.00000000,8910.45000000,9294.69000000,9310.47800000,8866.32000000,,77.69926636,,,9310.47800000,8866.32000000,,77.69926636,,
20200622 000000,9294.69000000,9780.00000000,8833.00000000,9116.35000000,9389.68000000,9065.88100000,,74.18188586,,,9389.68000000,9065.88100000,,74.18188586,,
20200629 000000,9116.16000000,9292.00000000,8893.03000000,9069.41000000,9313.90800000,9203.51200000,,73.42274364,,,9313.90800000,9203.51200000,,73.42274364,,
20200706 000000,9069.41000000,9470.00000000,9055.92000000,9302.75000000,9225.06000000,9244.37100000,,70.57786251,,,9225.06000000,9244.37100000,,70.57786251,,
20200713 000000,9303.31000000,9343.82000000,9047.25000000,9208.99000000,9198.43800000,9292.99300000,8206.47450000,68.86397188,,,9198.43800000,9292.99300000,8206.47450000,68.86397188,,
20200720 000000,9208.99000000,10111.00000000,9131.00000000,9931.54000000,9325.80800000,9318.14300000,8301.38600000,71.24353428,,,9325.80800000,9318.14300000,8301.38600000,71.24353428,,
20200727 000000,9931.54000000,12123.46000000,9917.21000000,11071.35000000,9716.80800000,9553.24400000,8586.88850000,73.51523226,,,9716.80800000,9553.24400000,8586.88850000,73.51523226,,
20200803 000000,11071.36000000,11909.94000000,10936.00000000,11681.68000000,10239.26200000,9776.58500000,8880.16300000,71.14198514,,,10239.26200000,9776.58500000,8880.16300000,71.14198514,,
20200810 000000,11681.69000000,12067.35000000,11125.00000000,11911.00000000,10760.91200000,9992.98600000,9181.64200000,73.97053671,,,10760.91200000,9992.98600000,9181.64200000,73.97053671,,
20200817 000000,11910.99000000,12468.00000000,11376.81000000,11648.13000000,11248.74000000,10223.58900000,9425.40950000,66.52216034,,,11248.74000000,10223.58900000,9425.40950000,66.52216034,,
20200824 000000,11648.12000000,11824.90000000,11117.64000000,11711.16000000,11604.66400000,10465.23600000,9665.77800000,79.55799685,958.68256854,694.33212375,11604.66400000,10465.23600000,9665.77800000,79.55799685,958.68256854,694.33212375
20200831 000000,11711.17000000,12050.85000000,9825.00000000,10256.20000000,11441.63400000,10579.22100000,9822.55100000,56.98144055,865.00155556,728.46601012,11441.63400000,10579.22100000,9822.55100000,56.98144055,865.00155556,728.46601012
20200907 000000,10255.89000000,10580.11000000,9850.00000000,10332.83000000,11171.86400000,10705.56300000,9954.53750000,55.26438756,787.86011742,740.34483158,11171.86400000,10705.56300000,9954.53750000,55.26438756,787.86011742,740.34483158
20200914 000000,10332.84000000,11179.79000000,10212.34000000,10920.28000000,10973.72000000,10867.31600000,10055.84350000,63.73108928,765.30531411,745.33692808,10973.72000000,10867.31600000,10055.84350000,63.73108928,765.30531411,745.33692808
20200921 000000,10920.28000000,10988.86000000,10136.82000000,10774.25000000,10798.94400000,11023.84200000,10158.41750000,62.65585011,727.26362703,741.72226787,10798.94400000,11023.84200000,10158.41750000,62.65585011,727.26362703,741.72226787
20200928 000000,10774.26000000,10950.00000000,10374.00000000,10666.63000000,10590.03800000,11097.35100000,10207.74700000,63.42317443,680.58591064,729.49499643,10590.03800000,11097.35100000,10207.74700000,63.42317443,680.58591064,729.49499643
20201005 000000,10666.62000000,11491.00000000,10525.00000000,11369.02000000,10812.60200000,11127.11800000,10340.18100000,67.88163152,692.29019653,722.05403645,10812.60200000,11127.11800000,10340.18100000,67.88163152,692.29019653,722.05403645
20201012 000000,11369.02000000,11720.01000000,11172.00000000,11503.14000000,11046.66400000,11109.26400000,10442.92450000,67.37825923,704.26990546,718.49721025,11046.66400000,11109.26400000,10442.92450000,67.37825923,704.26990546,718.49721025
20201019 000000,11503.14000000,13350.00000000,11407.96000000,13028.83000000,11468.37400000,11221.04700000,10607.01650000,74.60349358,827.33731382,740.26523096,11468.37400000,11221.04700000,10607.01650000,74.60349358,827.33731382,740.26523096
20201026 000000,13029.64000000,14100.00000000,12765.00000000,13761.50000000,12065.82400000,11432.38400000,10827.98650000,74.63655872,972.77591223,786.76736722,12065.82400000,11432.38400000,10827.98650000,74.63655872,972.77591223,786.76736722
20201102 000000,13761.49000000,15960.00000000,13195.05000000,15475.10000000,13027.51800000,11808.77800000,11137.00700000,76.38015458,1212.33520259,871.88093429,13027.51800000,11808.77800000,11137.00700000,76.38015458,1212.33520259,871.88093429
20201109 000000,15475.10000000,16480.00000000,14805.54000000,15957.00000000,13945.11400000,12378.85800000,11479.03950000,76.01103881,1424.65048474,982.43484438,13945.11400000,12378.85800000,11479.03950000,76.01103881,1424.65048474,982.43484438
20201116 000000,15957.00000000,18965.90000000,15864.00000000,18414.43000000,15327.37200000,13187.01800000,11946.29050000,81.12764314,1770.79333561,1140.10654263,15327.37200000,13187.01800000,11946.29050000,81.12764314,1770.79333561,1140.10654263
20201123 000000,18413.88000000,19484.21000000,16188.00000000,18184.99000000,16358.60400000,13913.48900000,12390.40250000,81.38809714,2003.50498988,1312.78623208,16358.60400000,13913.48900000,12390.40250000,81.38809714,2003.50498988,1312.78623208
20201130 000000,18185.00000000,19888.00000000,18001.12000000,19359.40000000,17478.18400000,14772.00400000,12897.92300000,83.18298488,2256.68209803,1501.56540527,17478.18400000,14772.00400000,12897.92300000,83.18298488,2256.68209803,1501.56540527
20201207 000000,19358.67000000,19420.91000000,17572.33000000,19174.99000000,18218.16200000,15622.84000000,13360.09550000,93.49021191,2414.61228706,1684.17478163,18218.16200000,15622.84000000,13360.09550000,93.49021191,2414.61228706,1684.17478163
20201214 000000,19174.99000000,24295.00000000,19000.00000000,23455.52000000,19717.86600000,16831.49000000,13979.30400000,95.38307987,2852.29659714,1917.79914473,19717.86600000,16831.49000000,13979.30400000,95.38307987,2852.29659714,1917.79914473
20201221 000000,23455.54000000,28422.00000000,21815.00000000,26281.66000000,21291.31200000,18309.34200000,14709.30300000,96.00212741,3388.15391589,2211.87009896,21291.31200000,18309.34200000,14709.30300000,96.00212741,3388.15391589,2211.87009896
20201228 000000,26281.54000000,34778.11000000,25880.00000000,33000.05000000,24254.32400000,20306.46400000,15763.75550000,97.75892463,4305.31365091,2630.55880935,24254.32400000,20306.46400000,15763.75550000,97.75892463,4305.31365091,2630.55880935
20210104 000000,33000.05000000,41950.00000000,28130.00000000,38150.02000000,28012.44800000,22745.31600000,17088.85000000,98.53820535,5385.64650712,3181.57634890,28012.44800000,22745.31600000,17088.85000000,98.53820535,5385.64650712,3181.57634890
20210111 000000,38150.02000000,40100.00000000,30420.00000000,35828.61000000,31343.17200000,24780.66700000,18294.72250000,90.86117625,5985.50254537,3742.36158820,31343.17200000,24780.66700000,18294.72250000,90.86117625,5985.50254537,3742.36158820
20210118 000000,35824.99000000,37850.00000000,28850.00000000,32259.90000000,33104.04800000,26410.95700000,19394.90750000,81.10586938,6102.58095090,4214.40546074,33104.04800000,26410.95700000,19394.90750000,81.10586938,6102.58095090,4214.40546074
20210125 000000,32259.45000000,38531.90000000,29241.72000000,33092.98000000,34466.31200000,27878.81200000,20532.91500000,80.70533596,6191.22048855,4609.76846630,34466.31200000,27878.81200000,20532.91500000,80.70533596,6191.22048855,4609.76846630
20210201 000000,33092.97000000,40955.51000000,32296.16000000,38795.69000000,35625.44000000,29939.88200000,21926.68550000,83.25288712,6645.02923755,5016.82062055,35625.44000000,29939.88200000,21926.68550000,83.25288712,6645.02923755,5016.82062055
20210208 000000,38795.69000000,49707.43000000,37988.89000000,48577.79000000,37710.99400000,32861.72100000,23816.86250000,86.20896277,7705.18903534,5554.49430351,37710.99400000,32861.72100000,23816.86250000,86.20896277,7705.18903534,5554.49430351
20210215 000000,48580.47000000,58352.80000000,45570.79000000,57408.57000000,42026.98600000,36685.07900000,26153.95950000,88.33883252,9152.43982808,6274.08340842,42026.98600000,36685.07900000,26153.95950000,88.33883252,9152.43982808,6274.08340842
20210222 000000,57412.35000000,57508.47000000,43000.00000000,45135.66000000,44602.13800000,38853.09300000,27842.29150000,70.91681736,9202.98891267,6859.86450927,44602.13800000,38853.09300000,27842.29150000,70.91681736,9202.98891267,6859.86450927
20210301 000000,45134.11000000,52640.00000000,44950.53000000,50971.75000000,48177.89200000,41322.10200000,29815.72200000,73.59382997,9603.27256684,7408.54612079,48177.89200000,41322.10200000,29815.72200000,73.59382997,9603.27256684,7408.54612079
20210308 000000,50959.11000000,61844.00000000,49274.67000000,58968.31000000,52212.41600000,43918.92800000,32112.69600000,75.95474615,10445.34833501,8015.90656363,52212.41600000,43918.92800000,32112.69600000,75.95474615,10445.34833501,8015.90656363
20210315 000000,58976.08000000,60633.43000000,53271.34000000,57351.56000000,53967.17000000,45839.08200000,34292.19900000,74.55522934,10857.08748859,8584.14274862,53967.17000000,45839.08200000,34292.19900000,74.55522934,10857.08748859,8584.14274862
20210322 000000,57351.56000000,58430.73000000,50427.56000000,55777.63000000,53640.98200000,47833.98400000,36307.32550000,71.53959248,10930.39198226,9053.39259535,53640.98200000,47833.98400000,36307.32550000,71.53959248,10930.39198226,9053.39259535
20210329 000000,55777.65000000,60200.00000000,54800.01000000,58202.01000000,56254.25200000,50428.19500000,38419.57600000,71.38637534,11056.65924104,9454.04592449,56254.25200000,50428.19500000,38419.57600000,71.38637534,11056.65924104,9454.04592449
20210405 000000,58202.01000000,61500.00000000,55473.00000000,60002.43000000,58060.38800000,53119.14000000,40498.97600000,69.36770727,11173.20801370,9797.87834233,58060.38800000,53119.14000000,40498.97600000,69.36770727,11173.20801370,9797.87834233
20210412 000000,59998.80000000,64854.00000000,50931.30000000,56150.01000000,57496.72800000,54854.57200000,42397.22700000,63.15553136,10829.87559325,10004.27779251,57496.72800000,54854.57200000,42397.22700000,63.15553136,10829.87559325,10004.27779251
