20200301 000000,8523.61000000,8965.75000000,8411.00000000,8760.07000000
20200304 000000,8760.07000000,9170.00000000,8660.00000000,9131.88000000
20200307 000000,9130.89000000,9188.00000000,7632.01000000,7929.87000000
20200310 000000,7929.87000000,8149.00000000,4410.00000000,4800.00000000
20200313 000000,4800.01000000,5955.00000000,3782.13000000,5361.30000000
20200316 000000,5360.33000000,5525.00000000,4442.12000000,5393.04000000
20200319 000000,5393.26000000,6900.00000000,5252.53000000,6186.98000000
20200322 000000,6187.04000000,6833.00000000,5688.00000000,6744.72000000
20200325 000000,6744.69000000,6957.96000000,6261.00000000,6359.11000000
20200328 000000,6359.11000000,6599.00000000,5857.76000000,6394.38000000
20200331 000000,6394.45000000,7198.00000000,6150.11000000,6794.09000000
20200403 000000,6793.86000000,7048.00000000,6602.10000000,6772.78000000
20200406 000000,6772.78000000,7459.69000000,6765.00000000,7361.28000000
20200409 000000,7360.26000000,7371.92000000,6739.98000000,6876.83000000
20200412 000000,6876.84000000,7177.00000000,6575.00000000,6868.70000000
20200415 000000,6868.57000000,7190.00000000,6468.27000000,7027.55000000
20200418 000000,7026.78000000,7293.08000000,6751.00000000,6826.83000000
20200421 000000,6828.98000000,7738.00000000,6762.00000000,7482.39000000
20200424 000000,7483.96000000,7705.00000000,7388.00000000,7693.10000000
20200427 000000,7693.10000000,8952.89000000,7606.00000000,8778.57000000
20200430 000000,8778.58000000,9460.00000000,8401.00000000,8972.05000000
20200503 000000,8972.58000000,9200.00000000,8522.00000000,9021.83000000
20200506 000000,9021.36000000,10067.00000000,8906.21000000,9800.01000000
20200509 000000,9800.02000000,9914.25000000,8117.00000000,8561.52000000
20200512 000000,8562.04000000,9939.00000000,8528.78000000,9791.98000000
20200515 000000,9791.97000000,9888.00000000,9150.00000000,9680.04000000
20200518 000000,9681.11000000,9950.00000000,9326.00000000,9511.43000000
20200521 000000,9511.43000000,9578.47000000,8815.00000000,9179.15000000
20200524 000000,9179.01000000,9298.00000000,8642.72000000,8841.18000000
20200527 000000,8841.00000000,9625.47000000,8811.73000000,9427.07000000
20200530 000000,9426.60000000,10380.00000000,9331.23000000,10200.77000000
20200602 000000,10202.71000000,10228.99000000,9266.00000000,9789.06000000
20200605 000000,9788.14000000,9854.75000000,9372.46000000,9746.99000000
20200608 000000,9746.99000000,9992.72000000,9570.00000000,9885.00000000
20200611 000000,9885.22000000,9964.00000000,9113.00000000,9473.34000000
20200614 000000,9473.34000000,9589.00000000,8910.45000000,9525.59000000
20200617 000000,9526.97000000,9565.00000000,9215.79000000,9310.23000000
20200620 000000,9310.23000000,9780.00000000,9170.95000000,9685.69000000
20200623 000000,9685.69000000,9720.00000000,9009.69000000,9249.49000000
20200626 000000,9249.49000000,9298.00000000,8833.00000000,9116.35000000
20200629 000000,9116.16000000,9292.00000000,9024.67000000,9232.00000000
20200702 000000,9231.99000000,9261.96000000,8940.00000000,9135.46000000
20200705 000000,9135.00000000,9379.42000000,8893.03000000,9257.39000000
20200708 000000,9257.40000000,9470.00000000,9125.00000000,9288.34000000
20200711 000000,9288.34000000,9345.00000000,9157.50000000,9242.62000000
20200714 000000,9242.61000000,9279.54000000,9047.25000000,9133.72000000
20200717 000000,9133.72000000,9232.27000000,9089.81000000,9208.99000000
20200720 000000,9208.99000000,9544.00000000,9131.00000000,9518.16000000
20200723 000000,9518.16000000,9732.90000000,9440.33000000,9700.42000000
20200726 000000,9700.42000000,11394.86000000,9650.00000000,10906.27000000
20200729 000000,10906.27000000,11444.00000000,10812.00000000,11335.46000000
20200801 000000,11335.46000000,12123.46000000,10518.50000000,11219.81000000
20200804 000000,11219.68000000,11900.00000000,11000.00000000,11762.46000000
20200807 000000,11762.47000000,11909.94000000,11322.00000000,11681.68000000
20200810 000000,11681.69000000,12067.35000000,11125.00000000,11564.33000000
20200813 000000,11564.34000000,11980.00000000,11270.36000000,11852.40000000
20200816 000000,11852.40000000,12468.00000000,11686.00000000,11945.01000000
20200819 000000,11945.10000000,12020.08000000,11485.81000000,11531.34000000
20200822 000000,11531.23000000,11824.90000000,11376.81000000,11748.20000000
20200825 000000,11748.19000000,11767.85000000,11117.64000000,11330.38000000
20200828 000000,11330.38000000,11719.00000000,11276.89000000,11711.16000000
20200831 000000,11711.17000000,12050.85000000,11160.10000000,11388.54000000
20200903 000000,11388.54000000,11462.60000000,9825.00000000,10166.69000000
20200906 000000,10166.69000000,10438.00000000,9850.00000000,10126.65000000
20200909 000000,10126.66000000,10483.35000000,9981.01000000,10387.89000000
20200912 000000,10387.89000000,10750.00000000,10200.00000000,10671.77000000
20200915 000000,10671.77000000,11093.00000000,10606.48000000,10939.99000000
20200918 000000,10940.00000000,11179.79000000,10723.00000000,10920.28000000
20200921 000000,10920.28000000,10988.86000000,10136.82000000,10241.46000000
20200924 000000,10241.46000000,10820.94000000,10190.93000000,10728.60000000
20200927 000000,10728.59000000,10950.00000000,10594.82000000,10840.48000000
20200930 000000,10840.58000000,10920.00000000,10374.00000000,10570.40000000
20201003 000000,10570.40000000,10798.00000000,10496.46000000,10792.21000000
20201006 000000,10792.20000000,10950.00000000,10525.00000000,10925.57000000
20201009 000000,10925.44000000,11491.00000000,10829.00000000,11369.02000000
20201012 000000,11369.02000000,11720.01000000,11172.00000000,11417.89000000
20201015 000000,11417.89000000,11617.34000000,11200.00000000,11360.20000000
20201018 000000,11360.31000000,12038.38000000,11346.22000000,11909.99000000
20201021 000000,11910.00000000,13217.68000000,11886.95000000,12923.07000000
20201024 000000,12923.06000000,13350.00000000,12765.00000000,13052.19000000
