20200301 000000,8523.61000000,9188.00000000,3782.13000000,6410.44000000,,,,,,
20200401 000000,6412.14000000,9460.00000000,6150.11000000,8620.00000000,,,,,,
20200501 000000,8620.00000000,10067.00000000,8117.00000000,9448.27000000,,,,,,
20200601 000000,9448.27000000,10380.00000000,8833.00000000,9138.55000000,,,,,,
20200701 000000,9138.08000000,11444.00000000,8893.03000000,11335.46000000,8990.54400000,,,,,
20200801 000000,11335.46000000,12468.00000000,10518.50000000,11649.51000000,10038.35800000,,,,,
20200901 000000,11649.51000000,12050.85000000,9825.00000000,10776.59000000,10469.67600000,,,,,
20201001 000000,10776.59000000,14100.00000000,10374.00000000,13791.00000000,11338.22200000,,,,,
20201101 000000,13791.00000000,19863.16000000,13195.05000000,19695.87000000,13449.68600000,,,,,
20201201 000000,19695.87000000,29300.00000000,17572.33000000,28923.63000000,16967.32000000,12978.93200000,,,,
20210101 000000,28923.63000000,41950.00000000,28130.00000000,33092.98000000,21256.01400000,15647.18600000,,,,
20210201 000000,33092.97000000,58352.80000000,32296.16000000,45135.66000000,28127.82800000,19298.75200000,,,,
20210301 000000,45134.11000000,61844.00000000,44950.53000000,58740.55000000,37117.73800000,24227.98000000,,,,
20210401 000000,58739.46000000,64854.00000000,46930.00000000,57694.27000000,44717.41800000,29083.55200000,,96.00133975,,
20210501 000000,57697.25000000,59500.00000000,30000.00000000,37253.81000000,46383.45400000,31675.38700000,,70.24317908,,
20210601 000000,37253.82000000,41330.00000000,28805.00000000,35045.00000000,46773.85800000,34014.93600000,,67.34347684,,
20210701 000000,35045.00000000,42448.00000000,29278.00000000,41461.83000000,46039.09200000,37083.46000000,,69.57538430,,
20210801 000000,41461.84000000,50500.00000000,37332.70000000,47100.89000000,43711.16000000,40414.44900000,,71.79256820,,
20210901 000000,47100.89000000,52920.00000000,39600.00000000,43824.10000000,40937.12600000,42827.27200000,,68.42194913,,
20211001 000000,43820.01000000,67000.00000000,43283.03000000,61299.80000000,45746.32400000,46064.88900000,29521.91050000,73.56650286,,
20211101 000000,61299.81000000,69000.00000000,53256.64000000,56950.56000000,50127.43600000,48450.64700000,32048.91650000,71.21631493,,
20211201 000000,56950.56000000,59053.55000000,42000.30000000,46216.93000000,51078.45600000,48558.77400000,33928.76300000,63.91236726,,
20220101 000000,46216.93000000,47990.00000000,32917.17000000,38466.90000000,49351.65800000,46531.40900000,35379.69450000,57.92819335,,
20220201 000000,38466.90000000,45821.00000000,34322.28000000,43160.00000000,49218.83800000,45077.98200000,37080.76700000,56.25242156,,
20220301 000000,43160.00000000,48189.84000000,37155.00000000,45510.34000000,46060.94600000,45903.63500000,38789.51100000,55.54208668,,
20220401 000000,45510.35000000,47444.11000000,37578.20000000,37630.80000000,42196.99400000,46162.21500000,40088.57550000,46.52116958,7414.61930872,9024.03183842
20220501 000000,37630.80000000,40023.77000000,26700.00000000,31801.04000000,39313.81600000,45196.13600000,41139.79800000,36.54229906,6005.72944834,8420.37136040
20220601 000000,31801.05000000,31982.97000000,17622.00000000,19942.21000000,35608.87800000,42480.26800000,41447.35850000,32.97955891,3887.45346714,7513.78778175
20220701 000000,19942.21000000,24668.00000000,18781.00000000,23293.32000000,31635.54200000,40427.19000000,41627.23100000,42.55938717,2450.85908339,6501.20204208
20220801 000000,23296.36000000,25211.32000000,19520.00000000,20050.02000000,26543.47800000,36302.21200000,41183.55050000,42.09519600,1038.66736868,5408.69510740
20220901 000000,20048.44000000,22799.00000000,18125.98000000,19422.61000000,22901.84000000,32549.41700000,40500.03200000,37.62645714,-129.63710717,4301.02866449
20221001 000000,19422.61000000,21085.00000000,18190.00000000,20490.74000000,20639.78000000,29976.79800000,39267.78600000,34.25190956,-958.29107420,3249.16471675
20221101 000000,20490.74000000,21480.65000000,15476.00000000,17163.64000000,20084.06600000,27846.47200000,37188.94050000,34.23152547,-1862.01038086,2226.92969723
20221201 000000,17165.53000000,18387.95000000,16256.30000000,16542.40000000,18733.88200000,25184.71200000,35131.34700000,16.93589328,-2598.39068800,1261.86562018
20230101 000000,16541.77000000,23960.54000000,16499.01000000,23125.13000000,19348.90400000,22946.19100000,34424.91300000,25.81003701,-2620.59747351,485.37300144
20230201 000000,23125.13000000,25250.00000000,21351.07000000,23141.57000000,20092.69600000,21497.26800000,33829.74150000,30.51036621,-2606.82014052,-133.06562695
20230301 000000,23141.57000000,29184.68000000,19549.09000000,28465.36000000,21687.62000000,21163.70000000,33179.91800000,41.19161247,-2141.62878116,-534.77825779
20230401 000000,28465.36000000,31000.00000000,26942.82000000,29233.21000000,24101.53400000,22092.80000000,32286.53400000,36.82362311,-1691.50359897,-766.12332603
20230501 000000,29233.20000000,29820.00000000,25811.46000000,27210.35000000,26235.12400000,22484.50300000,31455.84650000,32.57810487,-1480.93277419,-909.08521566
20230601 000000,27210.36000000,31431.94000000,24800.00000000,30472.00000000,27704.49800000,23526.70100000,29914.45650000,42.52769184,-1038.89030151,-935.04623283
20230701 000000,30471.99000000,31804.20000000,28861.90000000,29232.25000000,28922.63400000,24507.66500000,28528.54100000,47.03456463,-779.61895908,-903.96077808
20230801 000000,29232.26000000,30244.00000000,25166.00000000,25940.78000000,28417.71800000,25052.66900000,27514.73350000,58.63232026,-830.16900180,-889.20242283
20230901 000000,25940.77000000,27483.57000000,24901.00000000,26962.56000000,27963.58800000,26032.56100000,26939.51650000,55.65969983,-778.80360505,-867.12265927
20231001 000000,26962.57000000,35280.00000000,26538.66000000,34639.77000000,29449.47200000,27842.29800000,26513.50500000,69.79644993,-117.25779729,-717.14968687
