20200301 000000,8523.61000000,8675.00000000,8511.11000000,8620.36000000
20200301 040000,8620.17000000,8634.73000000,8520.58000000,8541.16000000
20200301 080000,8541.15000000,8650.00000000,8518.00000000,8648.37000000
20200301 120000,8647.42000000,8750.00000000,8535.24000000,8557.80000000
20200301 160000,8557.80000000,8582.73000000,8411.00000000,8542.20000000
20200301 200000,8541.22000000,8591.82000000,8470.00000000,8531.88000000
20200302 000000,8530.30000000,8651.90000000,8498.00000000,8601.99000000
20200302 040000,8601.99000000,8699.50000000,8596.36000000,8625.39000000
20200302 080000,8625.39000000,8776.98000000,8619.63000000,8758.35000000
20200302 120000,8758.39000000,8885.00000000,8718.95000000,8829.21000000
20200302 160000,8829.21000000,8917.99000000,8818.66000000,8883.12000000
20200302 200000,8882.88000000,8965.75000000,8850.00000000,8915.24000000
20200303 000000,8911.18000000,8919.65000000,8804.16000000,8866.60000000
20200303 040000,8865.90000000,8867.89000000,8746.42000000,8756.08000000
20200303 080000,8755.64000000,8866.96000000,8735.37000000,8858.22000000
20200303 120000,8858.45000000,8898.74000000,8675.45000000,8753.01000000
20200303 160000,8753.01000000,8781.25000000,8651.00000000,8713.97000000
20200303 200000,8714.11000000,8790.00000000,8683.24000000,8760.07000000
20200304 000000,8760.07000000,8835.01000000,8728.00000000,8790.18000000
20200304 040000,8788.99000000,8848.29000000,8774.58000000,8816.27000000
20200304 080000,8816.32000000,8829.40000000,8694.07000000,8717.12000000
20200304 120000,8717.21000000,8782.31000000,8660.00000000,8700.00000000
20200304 160000,8700.00000000,8746.00000000,8665.00000000,8739.58000000
20200304 200000,8738.94000000,8761.52000000,8688.03000000,8750.87000000
20200305 000000,8750.99000000,8941.53000000,8746.54000000,8869.82000000
20200305 040000,8869.68000000,8942.00000000,8862.00000000,8895.05000000
20200305 080000,8895.24000000,9122.62000000,8891.36000000,9100.89000000
20200305 120000,9100.59000000,9136.63000000,9011.98000000,9085.48000000
20200305 160000,9085.52000000,9150.90000000,9062.76000000,9150.90000000
20200305 200000,9150.80000000,9159.42000000,9015.00000000,9054.68000000
20200306 000000,9054.64000000,9081.94000000,8985.50000000,9033.59000000
20200306 040000,9032.87000000,9138.31000000,9013.05000000,9100.91000000
20200306 080000,9101.62000000,9170.00000000,9070.00000000,9127.92000000
20200306 120000,9129.12000000,9130.29000000,9000.00000000,9001.40000000
20200306 160000,9001.70000000,9101.35000000,9000.00000000,9085.12000000
20200306 200000,9084.62000000,9137.50000000,9058.30000000,9131.88000000
20200307 000000,9130.89000000,9143.55000000,9073.03000000,9089.95000000
20200307 040000,9089.57000000,9107.25000000,9050.00000000,9085.23000000
20200307 080000,9085.23000000,9116.97000000,9072.65000000,9089.00000000
20200307 120000,9089.00000000,9135.94000000,9069.30000000,9113.61000000
20200307 160000,9113.46000000,9188.00000000,8835.00000000,8884.79000000
20200307 200000,8884.91000000,8919.00000000,8853.93000000,8886.66000000
20200308 000000,8885.25000000,8886.76000000,8695.73000000,8747.58000000
20200308 040000,8746.92000000,8754.99000000,8701.00000000,8740.29000000
20200308 080000,8740.59000000,8752.36000000,8670.00000000,8741.53000000
20200308 120000,8741.30000000,8747.43000000,8321.00000000,8400.83000000
20200308 160000,8400.85000000,8403.00000000,8149.27000000,8280.11000000
20200308 200000,8281.51000000,8300.00000000,8000.00000000,8033.31000000
20200309 000000,8034.76000000,8179.31000000,7970.00000000,8063.52000000
20200309 040000,8063.52000000,8066.39000000,7675.28000000,7899.71000000
20200309 080000,7899.72000000,7991.08000000,7760.00000000,7804.92000000
20200309 120000,7803.64000000,7946.00000000,7632.01000000,7765.32000000
20200309 160000,7765.32000000,7903.52000000,7689.00000000,7842.03000000
20200309 200000,7842.04000000,7947.57000000,7791.40000000,7929.87000000
20200310 000000,7929.87000000,7969.87000000,7850.00000000,7907.16000000
20200310 040000,7908.29000000,7952.65000000,7866.04000000,7900.14000000
20200310 080000,7900.89000000,8114.10000000,7875.00000000,8065.02000000
20200310 120000,8064.83000000,8149.00000000,7739.97000000,7767.28000000
20200310 160000,7766.29000000,7985.00000000,7728.01000000,7978.80000000
20200310 200000,7978.94000000,8038.11000000,7869.79000000,7894.56000000
20200311 000000,7894.57000000,7965.49000000,7865.01000000,7924.78000000
20200311 040000,7923.80000000,7943.42000000,7813.00000000,7860.93000000
20200311 080000,7861.62000000,7921.12000000,7750.00000000,7821.86000000
20200311 120000,7821.68000000,7895.87000000,7736.00000000,7778.76000000
20200311 160000,7778.76000000,7843.00000000,7590.00000000,7828.23000000
20200311 200000,7828.23000000,7980.00000000,7798.13000000,7934.52000000
20200312 000000,7934.58000000,7966.17000000,7558.00000000,7662.73000000
20200312 040000,7662.11000000,7662.80000000,7342.43000000,7392.13000000
20200312 080000,7392.12000000,7466.00000000,5550.00000000,6067.01000000
20200312 120000,6064.27000000,6307.59000000,5734.69000000,6132.13000000
