20200301 000000,8523.61000000,8750.00000000,8411.00000000,8531.88000000,,,,,,,,,,,
20200302 000000,8530.30000000,8965.75000000,8498.00000000,8915.24000000,,,,,,,,,,,
20200303 000000,8911.18000000,8919.65000000,8651.00000000,8760.07000000,,,,,,,,,,,
20200304 000000,8760.07000000,8848.29000000,8660.00000000,8750.87000000,,,,,,,,,,,
20200305 000000,8750.99000000,9159.42000000,8746.54000000,9054.68000000,8802.54800000,,,,,8802.54800000,,,,,
20200306 000000,9054.64000000,9170.00000000,8985.50000000,9131.88000000,8922.54800000,,,,,8922.54800000,,,,,
20200307 000000,9130.89000000,9188.00000000,8835.00000000,8886.66000000,8916.83200000,,,,,8916.83200000,,,,,
20200308 000000,8885.25000000,8886.76000000,8000.00000000,8033.31000000,8771.48000000,,,,,8771.48000000,,,,,
20200309 000000,8034.76000000,8179.31000000,7632.01000000,7929.87000000,8607.28000000,,,,,8607.28000000,,,,,
20200310 000000,7929.87000000,8149.00000000,7728.01000000,7894.56000000,8375.25600000,8588.90200000,,,,8375.25600000,8588.90200000,,,,
20200311 000000,7894.57000000,7980.00000000,7590.00000000,7934.52000000,8135.78400000,8529.16600000,,,,8135.78400000,8529.16600000,,,,
20200312 000000,7934.58000000,7966.17000000,4410.00000000,4800.00000000,7318.45200000,8117.64200000,,,,7318.45200000,8117.64200000,,,,
20200313 000000,4800.01000000,5955.00000000,3782.13000000,5578.60000000,6827.51000000,7799.49500000,,,,6827.51000000,7799.49500000,,,,
20200314 000000,5576.05000000,5640.52000000,5055.13000000,5172.06000000,6275.94800000,7441.61400000,,24.25693568,,6275.94800000,7441.61400000,,24.25693568,,
20200315 000000,5172.48000000,5940.00000000,5093.10000000,5361.30000000,5769.29600000,7072.27600000,,26.39152812,,5769.29600000,7072.27600000,,26.39152812,,
20200316 000000,5360.33000000,5365.42000000,4442.12000000,5028.97000000,5188.18600000,6661.98500000,,20.84083021,,5188.18600000,6661.98500000,,20.84083021,,
20200317 000000,5028.86000000,5525.00000000,4921.45000000,5312.64000000,5290.71400000,6304.58300000,,24.62284998,,5290.71400000,6304.58300000,,24.62284998,,
20200318 000000,5312.64000000,5436.17000000,5009.37000000,5393.04000000,5253.60200000,6040.55600000,,25.53882152,,5253.60200000,6040.55600000,,25.53882152,,
20200319 000000,5393.26000000,6400.00000000,5252.53000000,6162.37000000,5451.66400000,5863.80600000,,30.26834090,,5451.66400000,5863.80600000,,30.26834090,,
20200320 000000,6162.05000000,6900.00000000,5670.00000000,6208.36000000,5621.07600000,5695.18600000,7142.04400000,29.97012839,,5621.07600000,5695.18600000,7142.04400000,29.97012839,,
20200321 000000,6204.57000000,6456.98000000,5860.02000000,6186.98000000,5852.67800000,5520.43200000,7024.79900000,30.91845418,,5852.67800000,5520.43200000,7024.79900000,30.91845418,,
20200322 000000,6187.04000000,6407.87000000,5734.01000000,5816.19000000,5953.38800000,5622.05100000,6869.84650000,33.18197679,,5953.38800000,5622.05100000,6869.84650000,33.18197679,,
20200323 000000,5816.05000000,6600.00000000,5688.00000000,6467.31000000,6168.24200000,5710.92200000,6755.20850000,39.75680680,,6168.24200000,5710.92200000,6755.20850000,39.75680680,,
20200324 000000,6465.25000000,6833.00000000,6371.33000000,6744.72000000,6284.71200000,5868.18800000,6654.90100000,42.21110702,,6284.71200000,5868.18800000,6654.90100000,42.21110702,,
20200325 000000,6744.69000000,6957.96000000,6450.00000000,6677.43000000,6378.52600000,5999.80100000,6536.03850000,41.51601987,,6378.52600000,5999.80100000,6536.03850000,41.51601987,,
20200326 000000,6677.42000000,6780.00000000,6510.00000000,6737.36000000,6488.60200000,6170.64000000,6416.31250000,72.35061213,-400.99536784,6488.60200000,6170.64000000,6416.31250000,72.35061213,-400.99536784,-575.46287998
20200327 000000,6737.27000000,6842.59000000,6261.00000000,6359.11000000,6597.18600000,6275.28700000,6289.93500000,59.92088813,-374.90080607,6597.18600000,6275.28700000,6289.93500000,59.92088813,-374.90080607,-535.35046520
20200328 000000,6359.11000000,6360.00000000,6024.00000000,6236.65000000,6551.05400000,6359.64800000,6200.10200000,64.58506298,-359.95286386,6551.05400000,6359.64800000,6200.10200000,64.58506298,-359.95286386,-500.27094493
20200329 000000,6236.65000000,6266.00000000,5866.56000000,5881.42000000,6378.39400000,6331.55300000,6097.67950000,56.81573968,-372.47692210,6378.39400000,6331.55300000,6097.67950000,56.81573968,-372.47692210,-474.71214037
20200330 000000,5880.50000000,6599.00000000,5857.76000000,6394.38000000,6321.78400000,6350.15500000,6022.67050000,67.08381191,-337.12458114,6321.78400000,6350.15500000,6022.67050000,67.08381191,-337.12458114,-447.19462852
20200331 000000,6394.45000000,6523.23000000,6321.40000000,6410.44000000,6256.40000000,6372.50100000,5946.46650000,64.72134313,-304.30386295,6256.40000000,6372.50100000,5946.46650000,64.72134313,-304.30386295,-418.61647541
20200401 000000,6412.14000000,6679.94000000,6150.11000000,6642.92000000,6313.16200000,6455.17400000,6038.61250000,66.10387870,-256.57636165,6313.16200000,6455.17400000,6038.61250000,66.10387870,-256.57636165,-386.20845265
20200402 000000,6643.36000000,7198.00000000,6551.00000000,6794.09000000,6424.65000000,6487.85200000,6099.38700000,59.68147322,-204.19992773,6424.65000000,6487.85200000,6099.38700000,59.68147322,-204.19992773,-349.80674767
20200403 000000,6793.86000000,7048.00000000,6602.10000000,6734.10000000,6595.18600000,6486.79000000,6177.48900000,58.02284131,-165.62272250,6595.18600000,6486.79000000,6177.48900000,58.02284131,-165.62272250,-312.96994264
