Date,Open,High,Low,Close,5SMA,10SMA,20SMA,RSI,MACD,Signal
20220713 00:00:00,19331.28000000,20366.61000000,18910.94000000,20234.87000000,,,,,,
20220714 00:00:00,20234.87000000,20900.00000000,19616.07000000,20588.84000000,,,,,,
20220715 00:00:00,20588.84000000,21200.00000000,20382.29000000,20830.04000000,,,,,,
20220716 00:00:00,20830.04000000,21588.94000000,20478.61000000,21195.60000000,,,,,,
20220717 00:00:00,21195.60000000,21684.54000000,20750.01000000,20798.16000000,20729.50200000,,,,,
20220718 00:00:00,20799.58000000,22777.63000000,20762.45000000,22432.58000000,21169.04400000,,,,,
20220719 00:00:00,22432.58000000,23800.00000000,21579.54000000,23396.62000000,21730.60000000,,,,,
20220720 00:00:00,23398.48000000,24276.74000000,22906.19000000,23223.30000000,22209.25200000,,,,,
20220721 00:00:00,23223.30000000,23442.77000000,22341.46000000,23152.19000000,22600.57000000,,,,,
20220722 00:00:00,23152.19000000,23756.49000000,22500.00000000,22684.83000000,22977.90400000,21853.70300000,,,,
20220723 00:00:00,22684.83000000,23000.77000000,21934.57000000,22451.07000000,22981.60200000,22075.32300000,,,,
20220724 00:00:00,22448.58000000,23014.64000000,22257.15000000,22579.68000000,22818.21400000,22274.40700000,,,,
20220725 00:00:00,22577.13000000,22666.00000000,21250.00000000,21310.90000000,22435.73400000,22322.49300000,,,,
20220726 00:00:00,21310.90000000,21347.82000000,20706.50000000,21254.67000000,22056.23000000,22328.40000000,,58.02259354,,
20220727 00:00:00,21254.67000000,23112.63000000,21042.53000000,22952.45000000,22109.75400000,22543.82900000,,66.87187561,,
20220728 00:00:00,22954.31000000,24199.72000000,22582.13000000,23842.93000000,22388.12600000,22684.86400000,,68.94095405,,
20220729 00:00:00,23845.25000000,24442.66000000,23414.03000000,23773.75000000,22626.94000000,22722.57700000,,67.48447091,,
20220730 00:00:00,23777.28000000,24668.00000000,23502.25000000,23643.51000000,23093.46200000,22764.59800000,,64.95774648,,
20220731 00:00:00,23644.64000000,24194.82000000,23227.31000000,23293.32000000,23501.19200000,22778.71100000,,65.33501321,,
20220801 00:00:00,23296.36000000,23509.68000000,22850.00000000,23268.01000000,23564.30400000,22837.02900000,22345.36600000,56.40039900,,
20220802 00:00:00,23266.90000000,23459.89000000,22654.37000000,22987.79000000,23393.27600000,22890.70100000,22483.01200000,46.50128283,,
