Date,Open,High,Low,Close,5SMA,10SMA,20SMA,RSI,MACD,Signal
20200301 00:00:00,8523.61000000,8675.00000000,8511.11000000,8586.83000000,,,,,,
20200301 06:00:00,8586.50000000,8650.00000000,8518.00000000,8648.37000000,,,,,,
20200301 12:00:00,8647.42000000,8750.00000000,8454.57000000,8500.00000000,,,,,,
20200301 18:00:00,8499.87000000,8591.82000000,8411.00000000,8531.88000000,,,,,,
20200302 00:00:00,8530.30000000,8663.43000000,8498.00000000,8658.00000000,8585.01600000,,,,,
20200302 06:00:00,8658.01000000,8776.98000000,8602.48000000,8758.35000000,8619.32000000,,,,,
20200302 12:00:00,8758.39000000,8917.99000000,8718.95000000,8868.33000000,8663.31200000,,,,,
20200302 18:00:00,8868.26000000,8965.75000000,8823.00000000,8915.24000000,8746.36000000,,,,,
20200303 00:00:00,8911.18000000,8919.65000000,8804.16000000,8850.49000000,8810.08200000,,,,,
20200303 06:00:00,8850.49000000,8866.96000000,8735.37000000,8858.22000000,8850.12600000,8717.57100000,,,,
20200303 12:00:00,8858.45000000,8898.74000000,8651.00000000,8718.99000000,8842.25400000,8730.78700000,,,,
20200303 18:00:00,8718.99000000,8790.00000000,8670.00000000,8760.07000000,8820.60200000,8741.95700000,,,,
20200304 00:00:00,8760.07000000,8847.99000000,8728.00000000,8839.75000000,8805.50400000,8775.93200000,,,,
20200304 06:00:00,8839.97000000,8848.29000000,8694.07000000,8717.12000000,8778.83000000,8794.45600000,,56.03054848,,
20200304 12:00:00,8717.21000000,8782.31000000,8660.00000000,8723.00000000,8751.78600000,8800.95600000,,56.26858663,,
20200304 18:00:00,8723.00000000,8761.52000000,8665.00000000,8750.87000000,8758.16200000,8800.20800000,,54.86954374,,
20200305 00:00:00,8750.99000000,8941.53000000,8746.54000000,8922.37000000,8790.62200000,8805.61200000,,69.63434022,,
20200305 06:00:00,8922.31000000,9122.62000000,8880.00000000,9100.89000000,8842.85000000,8824.17700000,,73.27753369,,
20200305 12:00:00,9100.59000000,9136.63000000,9011.98000000,9093.78000000,8918.18200000,8848.50600000,,69.75036711,,
20200305 18:00:00,9094.09000000,9159.42000000,9015.00000000,9054.68000000,8984.51800000,8868.15200000,8792.86150000,64.21969922,,
20200306 00:00:00,9054.64000000,9114.00000000,8985.50000000,9107.86000000,9055.91600000,8907.03900000,8818.91300000,62.15678512,,
20200306 06:00:00,9107.86000000,9170.00000000,9070.00000000,9127.92000000,9097.02600000,8943.82400000,8842.89050000,61.09650221,,
20200306 12:00:00,9129.12000000,9130.29000000,9000.00000000,9073.75000000,9091.59800000,8967.22400000,8871.57800000,61.77854686,,
20200306 18:00:00,9073.74000000,9137.50000000,9057.12000000,9131.88000000,9099.21800000,9008.70000000,8901.57800000,63.70849781,,
20200307 00:00:00,9130.89000000,9143.55000000,9058.33000000,9075.76000000,9103.43400000,9043.97600000,8922.46600000,69.49498924,,
20200307 06:00:00,9075.92000000,9116.97000000,9050.00000000,9089.00000000,9099.66200000,9077.78900000,8938.99850000,68.53774276,117.30465131,106.19069287
20200307 12:00:00,9089.00000000,9188.00000000,8859.00000000,8925.00000000,9059.07800000,9078.05200000,8941.83200000,54.38749987,100.76256438,105.10506717
20200307 18:00:00,8925.00000000,8925.00000000,8835.00000000,8886.66000000,9021.66000000,9056.62900000,8940.40300000,59.55456369,83.59548699,100.80315114
20200308 00:00:00,8885.25000000,8886.76000000,8695.73000000,8717.47000000,8938.77800000,9018.99800000,8933.75200000,49.73679952,55.69620428,91.78176177
20200308 06:00:00,8717.77000000,8754.99000000,8670.00000000,8741.53000000,8871.93200000,8987.68300000,8927.91750000,49.55384439,35.12239357,80.44988813
20200308 12:00:00,8741.30000000,8747.43000000,8149.27000000,8309.91000000,8716.11400000,8907.88800000,8907.46350000,26.56713905,-15.82816917,61.19427667
20200308 18:00:00,8309.90000000,8318.73000000,8000.00000000,8033.31000000,8537.77600000,8798.42700000,8871.12550000,12.00566580,-77.63128050,33.42916523
20200309 00:00:00,8034.76000000,8179.31000000,7675.28000000,7932.05000000,8346.85400000,8684.25700000,8825.74050000,11.25164269,-133.24555541,0.09422110
20200309 06:00:00,7932.18000000,8002.00000000,7760.00000000,7804.92000000,8164.34400000,8551.56100000,8780.13050000,10.62755970,-185.44094965,-37.01281305
20200309 12:00:00,7803.64000000,7946.00000000,7632.01000000,7734.35000000,7962.90800000,8417.42000000,8730.69800000,7.19792582,-229.85100554,-75.58045155
20200309 18:00:00,7736.10000000,7947.57000000,7726.03000000,7929.87000000,7886.90000000,8301.50700000,8689.64800000,16.34596477,-246.42878716,-109.75011867
20200310 00:00:00,7929.87000000,7969.87000000,7850.00000000,7934.44000000,7867.12600000,8202.45100000,8640.25150000,17.07862571,-256.24421393,-139.04893772
20200310 06:00:00,7934.44000000,8114.10000000,7866.04000000,8065.02000000,7893.72000000,8120.28700000,8588.45800000,20.41102729,-250.59756295,-161.35866277
20200310 12:00:00,8064.83000000,8149.00000000,7728.01000000,7869.90000000,7906.71600000,8035.53000000,8527.26400000,18.94994335,-258.88286417,-180.86350305
20200310 18:00:00,7869.88000000,8038.11000000,7801.00000000,7894.56000000,7938.75800000,7950.83300000,8469.25800000,19.42382323,-260.45678548,-196.78215953
20200311 00:00:00,7894.57000000,7965.49000000,7826.41000000,7851.40000000,7923.06400000,7904.98200000,8406.43500000,20.70476648,-262.16470918,-209.85866946
20200311 06:00:00,7851.58000000,7921.12000000,7750.00000000,7821.86000000,7900.54800000,7883.83700000,8341.13200000,20.80468090,-262.87166126,-220.46126782
20200311 12:00:00,7821.68000000,7895.87000000,7647.05000000,7671.97000000,7821.93800000,7857.82900000,8271.04300000,21.02722416,-272.38688968,-230.84639219
20200311 18:00:00,7671.20000000,7980.00000000,7590.00000000,7934.52000000,7834.86200000,7870.78900000,8211.17500000,30.24716439,-255.79355708,-235.83582517
20200312 00:00:00,7934.58000000,7966.17000000,7558.00000000,7646.95000000,7785.34000000,7862.04900000,8139.73450000,32.54192298,-262.81811351,-241.23228284
20200312 06:00:00,7647.37000000,7649.94000000,5550.00000000,6067.01000000,7428.46200000,7675.76300000,7988.63500000,19.29632799,-391.36170486,-271.25816724
20200312 12:00:00,6064.27000000,6307.59000000,5734.69000000,6114.61000000,7087.01200000,7493.78000000,7848.11550000,21.13708550,-483.81538236,-313.76961027
20200312 18:00:00,6113.20000000,6150.00000000,4410.00000000,4800.00000000,6512.61800000,7167.27800000,7643.78250000,15.34821074,-655.60620796,-382.13692981
20200313 00:00:00,4800.01000000,5523.23000000,3782.13000000,4956.52000000,5917.01800000,6875.94000000,7455.73500000,18.58958847,-770.24293789,-459.75813142
20200313 06:00:00,4959.16000000,5700.00000000,4858.00000000,5403.56000000,5468.34000000,6626.84000000,7288.83650000,22.97110210,-815.61903185,-530.93031151
20200313 12:00:00,5403.56000000,5955.00000000,4920.00000000,5183.87000000,5291.71200000,6360.08700000,7132.53450000,21.86675995,-859.40042704,-596.62433461
20200313 18:00:00,5184.81000000,5699.00000000,4807.00000000,5578.60000000,5184.51000000,6135.76100000,7009.79900000,25.87227469,-852.41991982,-647.78345165
20200314 00:00:00,5576.05000000,5640.52000000,5322.02000000,5431.06000000,5310.72200000,5911.67000000,6884.74950000,26.11340949,-849.00624700,-688.02801072
