Date,Open,High,Low,Close,5SMA,10SMA,20SMA,RSI,MACD,Signal
20200301 00:00:00,8523.61000000,8573.00000000,8511.11000000,8553.39000000,,,,,,
20200301 00:03:00,8553.27000000,8577.06000000,8551.38000000,8564.61000000,,,,,,
20200301 00:06:00,8564.59000000,8595.00000000,8564.59000000,8592.16000000,,,,,,
20200301 00:09:00,8593.94000000,8613.57000000,8581.24000000,8584.35000000,,,,,,
20200301 00:12:00,8584.29000000,8590.00000000,8573.29000000,8582.92000000,8575.48600000,,,,,
20200301 00:15:00,8581.91000000,8599.96000000,8579.77000000,8594.61000000,8583.73000000,,,,,
20200301 00:18:00,8596.47000000,8605.00000000,8592.93000000,8598.49000000,8590.50600000,,,,,
20200301 00:21:00,8598.49000000,8598.50000000,8579.67000000,8585.11000000,8589.09600000,,,,,
20200301 00:24:00,8585.62000000,8608.87000000,8582.39000000,8603.68000000,8592.96200000,,,,,
20200301 00:27:00,8603.68000000,8610.87000000,8601.68000000,8603.42000000,8597.06200000,8586.27400000,,,,
20200301 00:30:00,8604.02000000,8604.97000000,8589.15000000,8592.31000000,8596.60200000,8590.16600000,,,,
20200301 00:33:00,8592.17000000,8603.00000000,8591.14000000,8591.14000000,8595.13200000,8592.81900000,,,,
20200301 00:36:00,8592.10000000,8592.84000000,8565.71000000,8577.10000000,8593.53000000,8591.31300000,,,,
20200301 00:39:00,8576.27000000,8577.94000000,8570.99000000,8574.01000000,8587.59600000,8590.27900000,,58.23482428,,
20200301 00:42:00,8574.01000000,8575.00000000,8550.02000000,8556.25000000,8578.16200000,8587.61200000,,51.00027980,,
20200301 00:45:00,8556.25000000,8561.23000000,8535.00000000,8537.48000000,8567.19600000,8581.89900000,,40.98730981,,
20200301 00:48:00,8537.86000000,8549.54000000,8535.00000000,8544.35000000,8557.83800000,8576.48500000,,31.58746053,,
20200301 00:51:00,8545.18000000,8568.12000000,8544.10000000,8557.37000000,8553.89200000,8573.71100000,,40.01036730,,
20200301 00:54:00,8557.38000000,8559.09000000,8536.42000000,8542.05000000,8547.50000000,8567.54800000,,36.27878869,,
20200301 00:57:00,8540.56000000,8547.84000000,8536.47000000,8547.25000000,8545.70000000,8561.93100000,8574.10250000,33.37545633,,
20200301 01:00:00,8546.65000000,8547.57000000,8520.00000000,8532.20000000,8544.64400000,8555.92000000,8573.04300000,28.42262874,,
20200301 01:03:00,8531.83000000,8554.06000000,8525.00000000,8552.21000000,8546.21600000,8552.02700000,8572.42300000,39.73414878,,
20200301 01:06:00,8552.21000000,8553.78000000,8538.64000000,8543.16000000,8543.37400000,8548.63300000,8569.97300000,29.92303609,,
20200301 01:09:00,8543.22000000,8544.96000000,8520.40000000,8525.90000000,8540.14400000,8543.82200000,8567.05050000,26.89005485,,
20200301 01:12:00,8525.80000000,8529.14000000,8514.06000000,8521.07000000,8534.90800000,8540.30400000,8563.95800000,27.93607532,,
20200301 01:15:00,8521.14000000,8545.33000000,8516.76000000,8543.90000000,8537.24800000,8540.94600000,8561.42250000,37.09994539,-9.42418207,-5.88667519
20200301 01:18:00,8543.32000000,8551.92000000,8537.20000000,8550.72000000,8536.95000000,8541.58300000,8559.03400000,42.50056857,-8.25817212,-6.36097458
20200301 01:21:00,8551.75000000,8569.46000000,8550.67000000,8551.30000000,8538.57800000,8540.97600000,8557.34350000,43.45042395,-7.20425354,-6.52963037
20200301 01:24:00,8551.31000000,8560.20000000,8542.25000000,8543.08000000,8542.01400000,8541.07900000,8554.31350000,45.98058964,-6.95216059,-6.61413641
20200301 01:27:00,8543.01000000,8568.88000000,8543.01000000,8562.54000000,8550.30800000,8542.60800000,8552.26950000,57.61609531,-5.12306029,-6.31592119
20200301 01:30:00,8563.06000000,8566.31000000,8537.72000000,8544.75000000,8550.47800000,8543.86300000,8549.89150000,50.11399909,-5.05076735,-6.06289042
20200301 01:33:00,8545.20000000,8574.74000000,8545.20000000,8574.35000000,8555.20400000,8546.07700000,8549.05200000,54.42141444,-2.57531542,-5.36537542
20200301 01:36:00,8574.87000000,8590.60000000,8570.12000000,8582.43000000,8561.43000000,8550.00400000,8549.31850000,60.92650720,0.03804795,-4.28469075
20200301 01:39:00,8582.24000000,8609.27000000,8580.73000000,8588.94000000,8570.60200000,8556.30800000,8550.06500000,61.20156913,2.60443751,-2.90686510
