Date,Open,High,Low,Close,5SMA,10SMA,20SMA,RSI,MACD,Signal
20200301 00:00:00,8523.61000000,8675.00000000,8511.11000000,8620.36000000,,,,,,
20200301 04:00:00,8620.17000000,8634.73000000,8520.58000000,8541.16000000,,,,,,
20200301 08:00:00,8541.15000000,8650.00000000,8518.00000000,8648.37000000,,,,,,
20200301 12:00:00,8647.42000000,8750.00000000,8535.24000000,8557.80000000,,,,,,
20200301 16:00:00,8557.80000000,8582.73000000,8411.00000000,8542.20000000,8581.97800000,,,,,
20200301 20:00:00,8541.22000000,8591.82000000,8470.00000000,8531.88000000,8564.28200000,,,,,
20200302 00:00:00,8530.30000000,8651.90000000,8498.00000000,8601.99000000,8576.44800000,,,,,
20200302 04:00:00,8601.99000000,8699.50000000,8596.36000000,8625.39000000,8571.85200000,,,,,
20200302 08:00:00,8625.39000000,8776.98000000,8619.63000000,8758.35000000,8611.96200000,,,,,
20200302 12:00:00,8758.39000000,8885.00000000,8718.95000000,8829.21000000,8669.36400000,8625.67100000,,,,
20200302 16:00:00,8829.21000000,8917.99000000,8818.66000000,8883.12000000,8739.61200000,8651.94700000,,,,
20200302 20:00:00,8882.88000000,8965.75000000,8850.00000000,8915.24000000,8802.26200000,8689.35500000,,,,
20200303 00:00:00,8911.18000000,8919.65000000,8804.16000000,8866.60000000,8850.50400000,8711.17800000,,,,
20200303 04:00:00,8865.90000000,8867.89000000,8746.42000000,8756.08000000,8850.05000000,8731.00600000,,58.02677959,,
20200303 08:00:00,8755.64000000,8866.96000000,8735.37000000,8858.22000000,8855.85200000,8762.60800000,,62.55118409,,
20200303 12:00:00,8858.45000000,8898.74000000,8675.45000000,8753.01000000,8829.83000000,8784.72100000,,60.88005999,,
20200303 16:00:00,8753.01000000,8781.25000000,8651.00000000,8713.97000000,8789.57600000,8795.91900000,,53.62270820,,
20200303 20:00:00,8714.11000000,8790.00000000,8683.24000000,8760.07000000,8768.27000000,8809.38700000,,61.74718037,,
20200304 00:00:00,8760.07000000,8835.01000000,8728.00000000,8790.18000000,8775.09000000,8812.57000000,,64.16316367,,
20200304 04:00:00,8788.99000000,8848.29000000,8774.58000000,8816.27000000,8766.70000000,8811.27600000,8718.47350000,65.95527429,,
20200304 08:00:00,8816.32000000,8829.40000000,8694.07000000,8717.12000000,8759.52200000,8794.67600000,8723.31150000,56.25536539,,
20200304 12:00:00,8717.21000000,8782.31000000,8660.00000000,8700.00000000,8756.72800000,8773.15200000,8731.25350000,54.08164382,,
20200304 16:00:00,8700.00000000,8746.00000000,8665.00000000,8739.58000000,8752.63000000,8760.45000000,8735.81400000,48.85631070,,
20200304 20:00:00,8738.94000000,8761.52000000,8688.03000000,8750.87000000,8744.76800000,8759.92900000,8745.46750000,44.85296050,,
20200305 00:00:00,8750.99000000,8941.53000000,8746.54000000,8869.82000000,8755.47800000,8761.08900000,8761.84850000,49.19497373,,
20200305 04:00:00,8869.68000000,8942.00000000,8862.00000000,8895.05000000,8791.06400000,8775.29300000,8780.00700000,48.76765507,40.65093370,35.98603492
20200305 08:00:00,8895.24000000,9122.62000000,8891.36000000,9100.89000000,8871.24200000,8813.98500000,8804.95200000,61.99801305,62.60117356,41.30906265
20200305 12:00:00,9100.59000000,9136.63000000,9011.98000000,9085.48000000,8940.42200000,8846.52600000,8827.95650000,68.68914963,77.85596349,48.61844282
20200305 16:00:00,9085.52000000,9150.90000000,9062.76000000,9150.90000000,9020.42800000,8882.59800000,8847.58400000,67.32777607,94.13916399,57.72258705
20200305 20:00:00,9150.80000000,9159.42000000,9015.00000000,9054.68000000,9057.40000000,8906.43900000,8858.85750000,68.05218120,98.14817676,65.80770499
20200306 00:00:00,9054.64000000,9081.94000000,8985.50000000,9033.59000000,9085.10800000,8938.08600000,8866.38100000,69.54623288,98.48825028,72.34381405
20200306 04:00:00,9032.87000000,9138.31000000,9013.05000000,9100.91000000,9085.11200000,8978.17700000,8875.66450000,70.31663527,103.00257284,78.47556581
20200306 08:00:00,9101.62000000,9170.00000000,9070.00000000,9127.92000000,9093.60000000,9017.01100000,8888.73050000,70.20652850,107.52026062,84.28450477
20200306 12:00:00,9129.12000000,9130.29000000,9000.00000000,9001.40000000,9063.70000000,9042.06400000,8900.99650000,59.88783849,99.74169394,87.37594261
20200306 16:00:00,9001.70000000,9101.35000000,9000.00000000,9085.12000000,9069.78800000,9063.59400000,8912.34150000,69.98436007,99.18923636,89.73860136
20200306 20:00:00,9084.62000000,9137.50000000,9058.30000000,9131.88000000,9089.44600000,9087.27700000,8931.28500000,72.72191591,101.35618001,92.06211709
20200307 00:00:00,9130.89000000,9143.55000000,9073.03000000,9089.95000000,9087.25400000,9086.18300000,8950.08400000,68.38807192,98.55402839,93.36049935
