Date,Open,High,Low,Close,20sma
2017-08-17,4261.48000000,4485.39000000,3850.00000000,4139.98000000,
2017-08-20,4120.98000000,4211.08000000,3400.00000000,4040.00000000,
2017-08-23,4040.00000000,4453.91000000,4013.89000000,4280.68000000,
2017-08-26,4280.71000000,4400.00000000,4124.54000000,4386.69000000,
2017-08-29,4353.65000000,4745.42000000,4313.55000000,4724.89000000,
2017-09-01,4689.89000000,4939.19000000,4286.87000000,4509.08000000,
2017-09-04,4505.00000000,4662.87000000,3603.00000000,4619.77000000,
2017-09-07,4619.77000000,4788.59000000,4028.93000000,4258.81000000,
2017-09-10,4258.81000000,4394.59000000,3801.00000000,4163.72000000,
2017-09-13,4159.72000000,4165.38000000,2817.00000000,3700.00000000,
2017-09-16,3674.01000000,4123.20000000,3470.66000000,4035.01000000,
2017-09-19,4060.00000000,4089.97000000,3567.00000000,3609.99000000,
2017-09-22,3592.84000000,3817.19000000,3505.55000000,3660.02000000,
2017-09-25,3660.02000000,4249.94000000,3653.69000000,4193.00000000,
2017-09-28,4192.11000000,4380.00000000,3952.01000000,4378.51000000,
2017-10-01,4378.49000000,4561.63000000,4180.80000000,4310.00000000,
2017-10-04,4314.90000000,4417.00000000,4110.00000000,4369.00000000,
2017-10-07,4369.00000000,4889.98000000,4312.56000000,4786.95000000,
2017-10-10,4786.95000000,5439.99000000,4680.59000000,5430.00000000,
2017-10-13,5439.99000000,5922.30000000,5379.84000000,5709.99000000,4365.3045
2017-10-16,5710.00000000,5788.91000000,5037.95000000,5512.06000000,4433.9085000000005
2017-10-19,5513.00000000,6171.00000000,5490.26000000,6024.97000000,4533.157
2017-10-22,6003.27000000,6080.00000000,5450.00000000,5477.03000000,4592.974499999999
2017-10-25,5506.92000000,5980.00000000,5286.98000000,5768.83000000,4662.081499999999
2017-10-28,5768.79000000,6248.68000000,5630.03000000,6120.50000000,4731.861999999999
2017-10-31,6120.52000000,7300.00000000,6100.00000000,7019.98000000,4857.407000000001
2017-11-03,7010.31000000,7590.25000000,6901.00000000,7345.01000000,4993.669
2017-11-06,7345.10000000,7770.02000000,6651.00000000,7303.00000000,5145.878500000001
2017-11-09,7303.01000000,7392.00000000,6100.00000000,6245.05000000,5249.945000000001
2017-11-12,6245.05000000,6697.47000000,5325.01000000,6574.99000000,5393.6945
2017-11-15,6575.99000000,7989.00000000,6575.99000000,7699.19000000,5576.903499999999
2017-11-18,7680.01000000,8319.99000000,7422.00000000,8212.00000000,5807.004
2017-11-21,8212.49000000,8400.00000000,7801.00000000,8019.99000000,6025.0025000000005
2017-11-24,8019.97000000,9350.00000000,7850.00000000,9128.02000000,6271.753500000001
2017-11-27,9128.00000000,11300.03000000,8520.00000000,9687.88000000,6537.222
2017-11-30,9687.88000000,11190.00000000,8850.80000000,10890.01000000,6866.222500000001
2017-12-03,10902.69000000,11853.00000000,10500.00000000,11699.99000000,7232.772
2017-12-06,11699.99000000,17204.99000000,11665.58000000,15880.00000000,7787.424499999999
2017-12-09,15880.01000000,17470.00000000,12368.00000000,16587.97000000,8345.323
2017-12-12,16587.97000000,16976.45000000,14666.56000000,16334.98000000,8876.5725
2017-12-15,16334.98000000,19798.68000000,16298.45000000,18860.02000000,9543.9705
2017-12-18,18860.04000000,19300.00000000,14777.66000000,16488.98000000,10067.171
2017-12-21,16480.52000000,17309.50000000,10961.00000000,13300.00000000,10458.319500000001
2017-12-24,13300.00000000,16050.00000000,11640.00000000,15689.01000000,10954.3285
2017-12-27,15709.98000000,16498.05000000,13150.00000000,14378.90000000,11367.2485
2017-12-30,14378.99000000,14398.85000000,11750.00000000,13380.00000000,11685.249500000002
2018-01-02,13382.16000000,15473.49000000,12890.02000000,15059.54000000,12070.975999999999
2018-01-05,15059.56000000,17176.24000000,14600.00000000,16150.03000000,12513.3275
2018-01-08,16218.85000000,16322.30000000,12812.00000000,14907.09000000,12946.429500000002
2018-01-11,14940.00000000,14968.68000000,11400.00000000,14210.00000000,13328.179999999998
2018-01-14,14210.00000000,14339.50000000,9035.00000000,10900.00000000,13488.2205
2018-01-17,10899.99000000,11878.82000000,9037.94000000,11474.98000000,13651.3695
2018-01-20,11474.98000000,13099.00000000,9900.24000000,10760.05000000,13788.372500000001
2018-01-23,10760.05000000,11794.05000000,9905.00000000,11175.27000000,13890.734999999997
2018-01-26,11184.70000000,12244.00000000,10311.15000000,11879.95000000,14000.338499999998
2018-01-29,11879.95000000,11975.02000000,9700.00000000,10285.10000000,13970.093000000003
2018-02-01,10285.10000000,10335.00000000,8010.02000000,9199.96000000,13845.091499999999
2018-02-04,9199.96000000,9368.00000000,6000.01000000,7652.14000000,13433.698500000002
2018-02-07,7655.02000000,8738.00000000,7150.01000000,8683.92000000,13038.496000000001
2018-02-10,8683.93000000,9065.78000000,7726.53000000,8903.00000000,12666.897
2018-02-13,8903.00000000,10219.50000000,8351.00000000,10000.09000000,12223.9005
2018-02-16,10000.89000000,11274.00000000,9666.00000000,10383.43000000,11918.623
2018-02-19,10375.01000000,11786.01000000,10200.00000000,10437.60000000,11775.503
2018-02-22,10439.02000000,10933.44000000,9352.00000000,9694.51000000,11475.778000000002
2018-02-25,9694.51000000,10870.00000000,9274.80000000,10569.04000000,11285.285
2018-02-28,10584.33000000,11200.00000000,10240.00000000,11039.00000000,11168.234999999999
2018-03-03,11038.99000000,11710.00000000,11015.01000000,11454.00000000,10987.958
2018-03-06,11455.00000000,11455.00000000,9060.00000000,9271.64000000,10644.0385
2018-03-09,9267.07000000,9740.00000000,8329.00000000,9533.57000000,10375.3625
2018-03-12,9533.57000000,9888.88000000,7900.28000000,8170.00000000,10073.3625
2018-03-15,8184.01000000,8611.64000000,7650.00000000,7824.80000000,9919.602499999999
2018-03-18,7824.01000000,9050.00000000,7322.00000000,8909.98000000,9791.3525
2018-03-21,8909.96000000,9177.01000000,8269.00000000,8898.03000000,9698.2515
2018-03-24,8898.04000000,8999.95000000,7831.00000000,8134.23000000,9546.199499999999
2018-03-27,8134.22000000,8215.94000000,6941.11000000,7090.14000000,9306.708999999999
2018-03-30,7090.16000000,7292.43000000,6430.00000000,6813.01000000,9133.104500000001
2018-04-02,6813.01000000,7520.00000000,6707.00000000,6796.10000000,9012.911499999998
2018-04-05,6796.10000000,7070.00000000,6500.00000000,6895.80000000,8975.094500000001
2018-04-08,6895.81000000,7185.00000000,6611.00000000,6843.90000000,8883.093499999999
2018-04-11,6839.56000000,8233.39000000,6743.20000000,7877.41000000,8831.814
2018-04-14,7877.48000000,8429.54000000,7810.00000000,8064.92000000,8735.055499999999
2018-04-17,8064.92000000,8296.00000000,7825.40000000,8278.00000000,8629.784
2018-04-20,8273.84000000,9035.00000000,8177.09000000,8787.02000000,8547.255000000001
2018-04-23,8785.70000000,9759.82000000,8730.00000000,8869.99000000,8506.028999999999
2018-04-26,8869.99000000,9427.48000000,8651.62000000,9348.00000000,8444.977
2018-04-29,9348.00000000,9570.51000000,8800.49000000,9071.48000000,8346.601
2018-05-02,9071.48000000,9844.00000000,8970.20000000,9713.99000000,8259.6005
2018-05-05,9714.00000000,10020.00000000,9181.00000000,9365.00000000,8264.2685
2018-05-08,9365.00000000,9475.70000000,8965.00000000,9002.20000000,8237.7
2018-05-11,9002.21000000,9016.80000000,8153.00000000,8679.71000000,8263.1855
2018-05-14,8679.71000000,8879.99000000,8083.01000000,8330.00000000,8288.4455
2018-05-17,8330.00000000,8464.00000000,7911.90000000,8233.49000000,8254.621
2018-05-20,8233.49000000,8609.00000000,7935.11000000,7977.11000000,8208.575
2018-05-23,7977.12000000,8031.90000000,7266.99000000,7457.00000000,8174.713500000001
2018-05-26,7456.99000000,7620.00000000,7058.02000000,7099.00000000,8175.1565
2018-05-29,7099.00000000,7699.00000000,7032.95000000,7485.01000000,8208.7565
2018-06-01,7485.01000000,7786.69000000,7355.54000000,7714.26000000,8254.6645
2018-06-04,7714.26000000,7760.52000000,7358.00000000,7658.84000000,8292.816499999999
