Date,Open,High,Low,Close,5SMA,10SMA,20SMA,RSI,MACD,Signal
20231124 12:00:00,37741.99000000,38414.00000000,37550.32000000,37713.57000000,,,,,,
20231125 00:00:00,37713.57000000,37839.44000000,37591.10000000,37652.51000000,,,,,,
20231125 12:00:00,37652.51000000,37888.00000000,37620.00000000,37780.67000000,,,,,,
20231126 00:00:00,37780.67000000,37814.63000000,37662.18000000,37679.31000000,,,,,,
20231126 12:00:00,37679.30000000,37748.00000000,37150.00000000,37447.43000000,37654.69800000,,,,,
20231127 00:00:00,37447.42000000,37569.23000000,36900.00000000,37035.95000000,37519.17400000,,,,,
20231127 12:00:00,37035.95000000,37284.00000000,36707.00000000,37242.70000000,37437.21200000,,,,,
20231128 00:00:00,37242.70000000,37343.57000000,36868.41000000,37251.42000000,37331.36200000,,,,,
20231128 12:00:00,37251.43000000,38377.00000000,37142.81000000,37818.87000000,37359.27400000,,,,,
20231129 00:00:00,37818.88000000,38450.00000000,37677.96000000,38104.65000000,37490.71800000,37572.70800000,,,,
20231129 12:00:00,38104.65000000,38280.00000000,37570.00000000,37854.64000000,37654.45600000,37586.81500000,,,,
20231130 00:00:00,37854.65000000,38145.85000000,37553.60000000,37885.15000000,37782.94600000,37610.07900000,,,,
20231130 12:00:00,37885.15000000,37966.94000000,37500.00000000,37723.96000000,37877.45400000,37604.40800000,,,,
20231201 00:00:00,37723.97000000,38833.00000000,37615.86000000,38580.17000000,38029.71400000,37694.49400000,,63.12807524,,
20231201 12:00:00,38580.17000000,38999.00000000,38219.00000000,38682.52000000,38145.28800000,37818.00300000,,64.23707944,,
20231202 00:00:00,38682.51000000,38826.94000000,38641.61000000,38740.16000000,38322.39200000,37988.42400000,,65.99725253,,
20231202 12:00:00,38740.17000000,39717.14000000,38703.44000000,39450.35000000,38635.43200000,38209.18900000,,70.96787157,,
20231203 00:00:00,39450.35000000,39555.53000000,39274.86000000,39479.70000000,38986.58000000,38432.01700000,,73.02577561,,
20231203 12:00:00,39479.69000000,40250.00000000,39381.34000000,39972.26000000,39264.99800000,38647.35600000,,80.27236169,,
20231204 00:00:00,39972.26000000,42154.83000000,39972.26000000,41596.01000000,39847.69600000,38996.49200000,38284.60000000,92.36037054,,
20231204 12:00:00,41596.01000000,42420.00000000,41144.87000000,41991.10000000,40497.88400000,39410.13800000,38498.47650000,92.61865441,,
20231205 00:00:00,41991.10000000,41991.10000000,41414.00000000,41726.09000000,40953.03200000,39794.23200000,38702.15550000,88.39540834,,
20231205 12:00:00,41726.09000000,44488.00000000,41694.00000000,44073.32000000,41871.75600000,40429.16800000,39016.78800000,91.11053561,,
20231206 00:00:00,44073.82000000,44297.21000000,43335.28000000,43839.21000000,42645.14600000,40955.07200000,39324.78300000,87.95108005,,
20231206 12:00:00,43839.22000000,44279.98000000,43600.78000000,43762.69000000,43078.48200000,41463.08900000,39640.54600000,90.01816652,,
20231207 00:00:00,43762.69000000,44047.33000000,42821.10000000,43188.03000000,43317.86800000,41907.87600000,39948.15000000,83.45302592,1516.79220469,1054.39816702
20231207 12:00:00,43188.03000000,43925.00000000,42955.00000000,43273.14000000,43627.27800000,42290.15500000,40249.67200000,85.34608613,1526.73429605,1148.86539283
20231208 00:00:00,43273.15000000,43729.73000000,43081.10000000,43653.82000000,43543.37800000,42707.56700000,40569.79200000,84.40112554,1547.49263776,1228.59084181
20231208 12:00:00,43653.82000000,44700.00000000,43453.02000000,44170.99000000,43609.73400000,43127.44000000,40887.39800000,85.23186979,1587.37677855,1300.34802916
20231209 00:00:00,44171.00000000,44358.02000000,43720.00000000,43817.35000000,43620.66600000,43349.57400000,41173.03300000,81.39855314,1572.32467486,1354.74335830
20231209 12:00:00,43817.35000000,44136.52000000,43584.51000000,43713.60000000,43725.78000000,43521.82400000,41465.98100000,78.50288088,1534.33713294,1390.66211323
20231210 00:00:00,43713.59000000,44049.00000000,43603.88000000,43738.02000000,43818.75600000,43723.01700000,41758.62450000,78.48870038,1489.03752451,1410.33719548
20231210 12:00:00,43738.03000000,44046.00000000,43563.00000000,43789.51000000,43845.89400000,43694.63600000,42061.90200000,77.13956230,1440.68475409,1416.40670721
20231211 00:00:00,43789.50000000,43804.50000000,40400.00000000,42344.01000000,43480.49800000,43545.11600000,42250.09400000,55.45636513,1271.07292821,1387.33995141
20231211 12:00:00,42344.01000000,42390.32000000,40222.00000000,41253.40000000,42967.70800000,43294.18700000,42378.63800000,45.11450483,1036.70078055,1317.21211724
20231212 00:00:00,41253.41000000,42104.12000000,41178.28000000,41584.57000000,42541.90200000,43133.84100000,42520.85850000,49.07091068,867.67974429,1227.30564265
20231212 12:00:00,41584.58000000,42070.23000000,40680.00000000,41492.39000000,42092.77600000,42955.76600000,42622.96050000,25.92869627,718.01437691,1125.44738950
20231213 00:00:00,41492.38000000,41506.00000000,40555.00000000,41004.69000000,41535.81200000,42690.85300000,42699.21000000,24.75759627,553.66784262,1011.09148012
20231213 12:00:00,41004.69000000,43475.20000000,40984.00000000,42869.03000000,41640.81600000,42560.65700000,42844.04850000,43.96373078,567.31898706,922.33698151
20231214 00:00:00,42869.03000000,43311.10000000,42648.95000000,43267.06000000,42043.54800000,42505.62800000,42927.60100000,50.54686062,603.30083542,858.52975229
20231214 12:00:00,43267.07000000,43420.00000000,41400.00000000,43022.26000000,42331.08600000,42436.49400000,42979.15900000,48.30153220,605.08831393,807.84146462
