Date,Open,High,Low,Close,5SMA,10SMA,20SMA,RSI,MACD,Signal
20200301 00:00:00,8523.61000000,8613.57000000,8511.11000000,8603.42000000,,,,,,
20200301 00:30:00,8604.02000000,8604.97000000,8535.00000000,8547.25000000,,,,,,
20200301 01:00:00,8546.65000000,8569.46000000,8514.06000000,8562.54000000,,,,,,
20200301 01:30:00,8563.06000000,8649.00000000,8537.72000000,8639.28000000,,,,,,
20200301 02:00:00,8640.23000000,8675.00000000,8617.73000000,8643.10000000,8599.11800000,,,,,
20200301 02:30:00,8642.04000000,8652.08000000,8620.00000000,8630.86000000,8604.60600000,,,,,
20200301 03:00:00,8631.94000000,8665.86000000,8625.00000000,8661.05000000,8627.36600000,,,,,
20200301 03:30:00,8663.05000000,8665.12000000,8616.45000000,8620.36000000,8638.93000000,,,,,
20200301 04:00:00,8620.17000000,8634.73000000,8560.45000000,8569.60000000,8624.99400000,,,,,
20200301 04:30:00,8569.53000000,8607.21000000,8564.78000000,8580.73000000,8612.52000000,8605.81900000,,,,
20200301 05:00:00,8580.72000000,8582.40000000,8538.00000000,8555.05000000,8597.35800000,8600.98200000,,,,
20200301 05:30:00,8555.10000000,8592.80000000,8555.10000000,8586.83000000,8582.51400000,8604.94000000,,,,
20200301 06:00:00,8586.50000000,8588.01000000,8556.20000000,8570.04000000,8572.45000000,8605.69000000,,,,
20200301 06:30:00,8570.04000000,8570.95000000,8521.00000000,8543.48000000,8567.22600000,8596.11000000,,42.46682083,,
20200301 07:00:00,8543.57000000,8567.37000000,8527.63000000,8536.99000000,8558.47800000,8585.49900000,,41.78517548,,
20200301 07:30:00,8536.45000000,8555.18000000,8520.58000000,8541.16000000,8555.70000000,8576.52900000,,49.13575341,,
20200301 08:00:00,8541.15000000,8594.87000000,8518.00000000,8573.00000000,8552.93400000,8567.72400000,,51.41780525,,
20200301 08:30:00,8572.98000000,8584.97000000,8522.54000000,8532.00000000,8545.32600000,8558.88800000,,33.89866122,,
20200301 09:00:00,8531.29000000,8589.93000000,8522.00000000,8572.99000000,8551.22800000,8559.22700000,,40.53360698,,
20200301 09:30:00,8572.99000000,8578.00000000,8536.59000000,8539.63000000,8551.75600000,8555.11700000,8580.46800000,38.34657538,,
20200301 10:00:00,8540.08000000,8580.96000000,8539.64000000,8574.28000000,8558.38000000,8557.04000000,8579.01100000,39.04114779,,
20200301 10:30:00,8574.28000000,8585.75000000,8562.05000000,8570.43000000,8557.86600000,8555.40000000,8580.17000000,43.04692940,,
20200301 11:00:00,8570.43000000,8580.82000000,8550.34000000,8569.85000000,8565.43600000,8555.38100000,8580.53550000,50.04047010,,
20200301 11:30:00,8569.82000000,8650.00000000,8559.03000000,8648.37000000,8580.51200000,8565.87000000,8580.99000000,58.98846542,,
20200301 12:00:00,8647.42000000,8750.00000000,8645.49000000,8653.84000000,8603.35400000,8577.55500000,8581.52700000,63.87305154,,
20200301 12:30:00,8653.82000000,8682.41000000,8558.00000000,8575.00000000,8603.49800000,8580.93900000,8578.73400000,48.53265858,1.81307191,-5.29338585
20200301 13:00:00,8574.67000000,8598.00000000,8535.24000000,8570.24000000,8603.46000000,8580.66300000,8574.19350000,50.02557022,0.26772634,-4.18116341
20200301 13:30:00,8570.24000000,8625.29000000,8560.00000000,8609.34000000,8611.35800000,8588.39700000,8573.64250000,58.15866409,2.17302282,-2.91032617
20200301 14:00:00,8609.69000000,8629.31000000,8585.04000000,8593.03000000,8600.29000000,8590.40100000,8574.81400000,56.77728328,2.33993005,-1.86027492
20200301 14:30:00,8593.02000000,8613.08000000,8555.15000000,8565.00000000,8582.52200000,8592.93800000,8574.02750000,52.72581752,0.20802057,-1.44661582
20200301 15:00:00,8564.78000000,8599.95000000,8542.45000000,8590.76000000,8585.67400000,8594.58600000,8575.81300000,52.05927369,0.59027928,-1.03923680
20200301 15:30:00,8590.97000000,8599.95000000,8546.02000000,8557.80000000,8583.18600000,8593.32300000,8574.36150000,53.04834822,-1.74624485,-1.18063841
20200301 16:00:00,8557.80000000,8582.73000000,8549.00000000,8554.47000000,8572.21200000,8591.78500000,8573.58300000,47.59804939,-3.82259573,-1.70902988
20200301 16:30:00,8555.01000000,8555.56000000,8454.57000000,8522.30000000,8558.06600000,8579.17800000,8572.52400000,47.74542711,-7.97207182,-2.96163827
20200301 17:00:00,8523.13000000,8529.97000000,8471.00000000,8478.87000000,8540.84000000,8561.68100000,8569.61800000,37.86471980,-14.59673746,-5.28865810
20200301 17:30:00,8477.59000000,8520.00000000,8460.90000000,8500.00000000,8522.68800000,8554.18100000,8567.56000000,41.41913789,-17.93507392,-7.81794127
20200301 18:00:00,8499.87000000,8512.10000000,8472.00000000,8480.02000000,8507.13200000,8545.15900000,8562.91100000,39.54954745,-21.94003755,-10.64236052
20200301 18:30:00,8480.12000000,8493.14000000,8456.22000000,8457.63000000,8487.76400000,8529.98800000,8559.19250000,24.47679709,-26.61389751,-13.83666792
20200301 19:00:00,8458.03000000,8515.00000000,8411.00000000,8482.55000000,8479.81400000,8518.94000000,8554.67050000,28.21347714,-27.98454110,-16.66624256
20200301 19:30:00,8482.88000000,8571.86000000,8481.06000000,8542.20000000,8492.48000000,8516.66000000,8554.79900000,45.61403509,-23.98109045,-18.12921213
20200301 20:00:00,8541.22000000,8565.24000000,8494.88000000,8525.76000000,8497.63200000,8510.16000000,8552.37300000,44.23236515,-21.88264803,-18.87989931
20200301 20:30:00,8526.15000000,8526.15000000,8488.00000000,8492.20000000,8500.06800000,8503.60000000,8548.46150000,34.58927538,-22.66634530,-19.63718851
20200301 21:00:00,8492.21000000,8520.00000000,8470.00000000,8514.39000000,8511.42000000,8499.59200000,8545.68850000,39.81188786,-21.25190475,-19.96013176
20200301 21:30:00,8514.45000000,8540.09000000,8487.23000000,8526.44000000,8520.19800000,8500.00600000,8539.59200000,44.78862580,-18.94028433,-19.75616227
20200301 22:00:00,8526.41000000,8553.00000000,8518.61000000,8529.71000000,8517.70000000,8505.09000000,8533.38550000,41.21506893,-16.65248731,-19.13542728
20200301 22:30:00,8529.91000000,8583.00000000,8516.00000000,8561.75000000,8524.89800000,8511.26500000,8532.72300000,50.56990333,-12.11438437,-17.73121870
20200301 23:00:00,8561.56000000,8591.82000000,8538.49000000,8563.59000000,8539.17600000,8519.62200000,8532.39050000,51.32150930,-8.27405433,-15.83978582
20200301 23:30:00,8562.78000000,8570.00000000,8530.07000000,8531.88000000,8542.67400000,8527.04700000,8528.51750000,51.39001741,-7.70053017,-14.21193469
20200302 00:00:00,8530.30000000,8550.00000000,8498.00000000,8533.32000000,8544.05000000,8532.12400000,8525.53200000,58.99672846,-7.04856076,-12.77925991
20200302 00:30:00,8533.25000000,8572.22000000,8531.77000000,8558.04000000,8549.71600000,8533.70800000,8525.18400000,59.47746571,-4.48546723,-11.12050137
20200302 01:00:00,8559.30000000,8560.00000000,8528.36000000,8531.73000000,8543.71200000,8534.30500000,8522.23250000,58.27280581,-4.52503249,-9.80140760
20200302 01:30:00,8530.43000000,8572.54000000,8518.50000000,8560.40000000,8543.07400000,8541.12500000,8522.36250000,66.11775038,-2.21739807,-8.28460569
20200302 02:00:00,8560.28000000,8595.00000000,8556.82000000,8570.21000000,8550.74000000,8546.70700000,8523.14950000,64.43200527,0.39841121,-6.54800231
20200302 02:30:00,8571.68000000,8651.90000000,8569.29000000,8626.06000000,8569.28800000,8556.66900000,8528.33750000,63.98132711,6.89856479,-3.85868889
20200302 03:00:00,8625.20000000,8648.63000000,8603.00000000,8632.03000000,8584.08600000,8566.90100000,8535.99550000,68.35849774,12.38890091,-0.60917093
20200302 03:30:00,8632.10000000,8633.00000000,8601.01000000,8601.99000000,8598.13800000,8570.92500000,8541.09500000,69.20009793,14.15290896,2.34324505
20200302 04:00:00,8601.99000000,8644.99000000,8596.36000000,8627.34000000,8611.52600000,8577.30000000,8548.46100000,69.53679040,17.39590207,5.35377645
20200302 04:30:00,8627.82000000,8645.00000000,8620.00000000,8643.24000000,8626.13200000,8588.43600000,8557.74150000,69.93718421,21.00684080,8.48438932
20200302 05:00:00,8643.32000000,8651.00000000,8620.24000000,8625.48000000,8626.01600000,8597.65200000,8564.88800000,65.57691682,22.17977752,11.22346696
20200302 05:30:00,8625.83000000,8663.43000000,8623.03000000,8658.00000000,8631.21000000,8607.64800000,8570.67800000,65.63058235,25.44017207,14.06680798
20200302 06:00:00,8658.01000000,8688.87000000,8642.01000000,8684.00000000,8647.61200000,8622.87500000,8578.59000000,68.13130553,29.77876983,17.20920035
20200302 06:30:00,8684.02000000,8699.50000000,8624.56000000,8624.89000000,8647.12200000,8629.32400000,8585.22450000,62.93782167,28.12326928,19.39201414
20200302 07:00:00,8624.78000000,8650.00000000,8602.48000000,8610.79000000,8640.63200000,8633.38200000,8590.04450000,60.40955631,25.38094526,20.58980036
20200302 07:30:00,8610.79000000,8636.11000000,8606.38000000,8625.39000000,8640.61400000,8633.31500000,8594.99200000,59.30274317,24.10783162,21.29340661
20200302 08:00:00,8625.39000000,8651.80000000,8619.63000000,8634.72000000,8635.95800000,8633.58400000,8600.24250000,64.92565433,23.57991830,21.75070895
20200302 08:30:00,8635.33000000,8671.37000000,8633.71000000,8665.07000000,8632.17200000,8639.89200000,8605.40850000,65.09561856,25.31867660,22.46430248
20200302 09:00:00,8666.05000000,8683.96000000,8652.82000000,8676.05000000,8642.40400000,8644.76300000,8611.03150000,65.21301673,27.26831713,23.42510541
20200302 09:30:00,8676.05000000,8712.66000000,8670.24000000,8697.04000000,8659.65400000,8650.14300000,8619.28950000,61.33865815,30.15947917,24.77198016
