Date,Open,High,Low,Close,5SMA,10SMA,20SMA,RSI,MACD,Signal
20180514 00:00:00,8679.71000000,8879.99000000,7911.90000000,8526.98000000,9014.34400000,8391.78700000,9711.17650000,51.62168939,-34.19620532,200.74056714
20180521 00:00:00,8526.97000000,8595.31000000,7231.11000000,7338.99000000,8724.73800000,8306.68700000,9270.62450000,38.42132967,-161.22700889,128.34705193
20180528 00:00:00,7338.99000000,7786.69000000,7032.95000000,7714.26000000,8383.79000000,8231.09800000,8982.58800000,42.63178983,-228.97915403,56.88181074
20180604 00:00:00,7714.26000000,7765.00000000,6622.81000000,6764.99000000,7804.98600000,8226.29600000,8744.33750000,29.79212737,-355.17711215,-25.52997384
20180611 00:00:00,6765.00000000,6922.00000000,6118.68000000,6449.61000000,7358.96600000,8169.45700000,8472.82050000,34.71292241,-475.16107236,-115.45619354
20180618 00:00:00,6444.06000000,6841.74000000,5750.00000000,6136.97000000,6880.96400000,7947.65400000,8370.42850000,38.66471287,-588.69060162,-210.10307516
20180625 00:00:00,6137.95000000,6528.99000000,5780.00000000,6356.81000000,6684.52800000,7704.63300000,8285.07500000,38.25342725,-653.39241967,-298.76094406
20180702 00:00:00,6360.82000000,6818.16000000,6271.62000000,6712.10000000,6484.09600000,7433.94300000,8101.50850000,49.34420455,-668.29643759,-372.66804277
20180709 00:00:00,6712.10000000,6802.06000000,6070.00000000,6353.01000000,6401.70000000,7103.34300000,7939.65900000,45.76321292,-701.00281700,-438.33499761
20180716 00:00:00,6354.15000000,7700.00000000,6330.40000000,7394.79000000,6590.73600000,6974.85100000,7733.64850000,43.64317406,-635.53387989,-477.77477407
20180723 00:00:00,7394.78000000,8491.77000000,7375.00000000,8211.00000000,7005.54200000,6943.25300000,7667.52000000,46.37119840,-511.88723252,-484.59726576
20180730 00:00:00,8210.99000000,8273.00000000,6882.29000000,7024.19000000,7139.01800000,6911.77300000,7609.23000000,35.89896380,-503.85390785,-488.44859418
20180806 00:00:00,7024.19000000,7160.00000000,5971.00000000,6308.33000000,7058.26400000,6771.18000000,7501.13900000,31.31756372,-548.92370867,-500.54361708
20180813 00:00:00,6308.56000000,6620.00000000,5880.00000000,6477.53000000,7083.16800000,6742.43400000,7484.36500000,36.50188296,-564.48182944,-513.33125955
