Date,Open,High,Low,Close,5SMA,10SMA,20SMA,RSI,MACD,Signal
20200301 00:00:00,8523.61000000,8675.00000000,8511.11000000,8541.16000000,,,,,,
20200301 08:00:00,8541.15000000,8750.00000000,8518.00000000,8557.80000000,,,,,,
20200301 16:00:00,8557.80000000,8591.82000000,8411.00000000,8531.88000000,,,,,,
20200302 00:00:00,8530.30000000,8699.50000000,8498.00000000,8625.39000000,,,,,,
20200302 08:00:00,8625.39000000,8885.00000000,8619.63000000,8829.21000000,8617.08800000,,,,,
20200302 16:00:00,8829.21000000,8965.75000000,8818.66000000,8915.24000000,8691.90400000,,,,,
20200303 00:00:00,8911.18000000,8919.65000000,8746.42000000,8756.08000000,8731.56000000,,,,,
20200303 08:00:00,8755.64000000,8898.74000000,8675.45000000,8753.01000000,8775.78600000,,,,,
20200303 16:00:00,8753.01000000,8790.00000000,8651.00000000,8760.07000000,8802.72200000,,,,,
20200304 00:00:00,8760.07000000,8848.29000000,8728.00000000,8816.27000000,8800.13400000,8708.61100000,,,,
20200304 08:00:00,8816.32000000,8829.40000000,8660.00000000,8700.00000000,8757.08600000,8724.49500000,,,,
20200304 16:00:00,8700.00000000,8761.52000000,8665.00000000,8750.87000000,8756.04400000,8743.80200000,,,,
20200305 00:00:00,8750.99000000,8942.00000000,8746.54000000,8895.05000000,8784.45200000,8780.11900000,,,,
20200305 08:00:00,8895.24000000,9136.63000000,8891.36000000,9085.48000000,8849.53400000,8826.12800000,,73.60123487,,
20200305 16:00:00,9085.52000000,9159.42000000,9015.00000000,9054.68000000,8897.21600000,8848.67500000,,71.68654346,,
20200306 00:00:00,9054.64000000,9138.31000000,8985.50000000,9100.91000000,8977.39800000,8867.24200000,,72.37691072,,
20200306 08:00:00,9101.62000000,9170.00000000,9000.00000000,9001.40000000,9027.50400000,8891.77400000,,68.23888621,,
20200306 16:00:00,9001.70000000,9137.50000000,9000.00000000,9131.88000000,9074.87000000,8929.66100000,,69.12567687,,
20200307 00:00:00,9130.89000000,9143.55000000,9050.00000000,9085.23000000,9074.82000000,8962.17700000,,60.96971567,,
20200307 08:00:00,9085.23000000,9135.94000000,9069.30000000,9113.61000000,9086.60600000,8991.91100000,8850.26100000,58.94130480,,
20200307 16:00:00,9113.46000000,9188.00000000,8835.00000000,8886.66000000,9043.75600000,9010.57700000,8867.53600000,55.54677677,,
20200308 00:00:00,8885.25000000,8886.76000000,8695.73000000,8740.29000000,8991.53400000,9009.51900000,8876.66050000,49.51832048,,
20200308 08:00:00,8740.59000000,8752.36000000,8321.00000000,8400.83000000,8845.32400000,8960.09700000,8870.10800000,39.13224991,,
20200308 16:00:00,8400.85000000,8403.00000000,8000.00000000,8033.31000000,8634.94000000,8854.88000000,8840.50400000,30.06822463,,
20200309 00:00:00,8034.76000000,8179.31000000,7675.28000000,7899.71000000,8392.16000000,8739.38300000,8794.02900000,29.80524167,,
20200309 08:00:00,7899.72000000,7991.08000000,7632.01000000,7765.32000000,8167.89200000,8605.82400000,8736.53300000,26.13622606,-148.95811358,1.39002670
20200309 16:00:00,7765.32000000,7947.57000000,7689.00000000,7929.87000000,8005.80800000,8498.67100000,8695.22250000,26.85774845,-180.92760630,-35.07349990
20200310 00:00:00,7929.87000000,7969.87000000,7850.00000000,7900.14000000,7905.67000000,8375.49700000,8652.57900000,19.20586921,-206.28470052,-69.31574002
20200310 08:00:00,7900.89000000,8149.00000000,7739.97000000,7767.28000000,7852.46400000,8243.70200000,8602.93950000,18.23869580,-234.39906550,-102.33240512
20200310 16:00:00,7766.29000000,8038.11000000,7728.01000000,7894.56000000,7851.43400000,8121.79700000,8556.85400000,21.38271980,-243.60138489,-130.58620107
20200311 00:00:00,7894.57000000,7965.49000000,7813.00000000,7860.93000000,7870.55600000,8019.22400000,8514.90050000,22.07263021,-250.71783018,-154.61252689
20200311 08:00:00,7861.62000000,7921.12000000,7736.00000000,7778.76000000,7840.33400000,7923.07100000,8466.29500000,16.06238149,-259.99108127,-175.68823777
20200311 16:00:00,7778.76000000,7980.00000000,7590.00000000,7934.52000000,7847.21000000,7876.44000000,8418.26850000,22.63667277,-251.86828846,-190.92424791
20200312 00:00:00,7934.58000000,7966.17000000,7342.43000000,7392.13000000,7772.18000000,7812.32200000,8333.60100000,17.10539390,-285.90156146,-209.91971062
20200312 08:00:00,7392.12000000,7466.00000000,5550.00000000,6132.13000000,7419.69400000,7635.56400000,8187.47350000,12.26371410,-409.82048975,-249.89986644
20200312 16:00:00,6132.13000000,6229.97000000,4410.00000000,4800.00000000,6807.50800000,7339.03200000,7972.42800000,9.25639080,-608.50443083,-321.62077932
20200313 00:00:00,4800.01000000,5523.23000000,3782.13000000,5385.87000000,6328.93000000,7084.63200000,7791.65150000,20.33617480,-710.49789544,-399.39620254
20200313 08:00:00,5386.11000000,5955.00000000,4920.00000000,5212.37000000,5784.50000000,6815.85500000,7595.67600000,21.14340427,-796.15091875,-478.74714579
20200313 16:00:00,5207.63000000,5699.00000000,4807.00000000,5578.60000000,5421.79400000,6596.98700000,7420.34450000,27.33507926,-824.97011458,-547.99173954
20200314 00:00:00,5576.05000000,5640.52000000,5322.02000000,5500.40000000,5295.44800000,6357.57100000,7239.68400000,27.63837055,-844.38606443,-607.27060452
20200314 08:00:00,5500.61000000,5530.00000000,5173.00000000,5311.38000000,5397.72400000,6102.61600000,7060.92000000,24.27187709,-865.05387625,-658.82725887
20200314 16:00:00,5310.96000000,5498.00000000,5055.13000000,5172.06000000,5354.96200000,5841.94600000,6882.50850000,23.76018590,-882.50228863,-703.56226482
20200315 00:00:00,5172.48000000,5332.04000000,5093.10000000,5272.23000000,5366.93400000,5575.71700000,6726.07850000,25.84969617,-878.12492182,-738.47479622
20200315 08:00:00,5272.35000000,5594.00000000,5213.16000000,5324.48000000,5316.11000000,5368.95200000,6590.63700000,24.75680857,-860.52014815,-762.88386660
20200315 16:00:00,5324.92000000,5940.00000000,5160.00000000,5361.30000000,5288.29000000,5291.86900000,6463.71650000,25.46413995,-833.98352891,-777.10379906
20200316 00:00:00,5360.33000000,5365.42000000,4778.00000000,4785.67000000,5183.14800000,5290.43600000,6314.73400000,23.21519019,-849.60784684,-791.60460862
20200316 08:00:00,4789.99000000,5175.00000000,4442.12000000,5151.39000000,5179.01400000,5266.98800000,6175.81000000,25.99611885,-822.99273585,-797.88223407
20200316 16:00:00,5144.53000000,5200.00000000,4820.00000000,5028.97000000,5130.36200000,5248.64800000,6032.25150000,28.02643716,-802.52730433,-798.81124812
20200317 00:00:00,5028.86000000,5415.87000000,4921.45000000,5343.72000000,5134.21000000,5225.16000000,5911.07350000,41.10554306,-752.23926192,-789.49685088
20200317 08:00:00,5345.19000000,5440.00000000,5051.00000000,5362.99000000,5134.54800000,5211.41900000,5784.49500000,59.02467644,-702.73006331,-772.14349336
20200317 16:00:00,5363.84000000,5525.00000000,5290.00000000,5312.64000000,5239.94200000,5211.54500000,5657.08050000,48.58281888,-659.94900955,-749.70459660
20200318 00:00:00,5312.64000000,5436.17000000,5104.92000000,5148.73000000,5239.41000000,5209.21200000,5525.57900000,48.76382058,-631.98574510,-726.16082630
20200318 08:00:00,5148.73000000,5390.00000000,5009.37000000,5328.89000000,5299.39400000,5214.87800000,5395.29750000,44.77154427,-588.50334993,-698.62933103
20200318 16:00:00,5328.59000000,5412.00000000,5140.54000000,5393.04000000,5309.25800000,5221.73400000,5295.34300000,47.73878026,-542.61197651,-667.42586012
20200319 00:00:00,5393.26000000,5450.00000000,5252.53000000,5414.19000000,5319.49800000,5227.02300000,5259.44600000,52.33016178,-498.78640500,-633.69796910
20200319 08:00:00,5414.19000000,5920.00000000,5376.10000000,5895.10000000,5435.99000000,5337.96600000,5314.20100000,64.19027657,-420.40276460,-591.03892820
20200319 16:00:00,5895.71000000,6400.00000000,5798.26000000,6162.37000000,5638.71800000,5439.06400000,5353.02600000,66.39445107,-332.87948206,-539.40703897
20200320 00:00:00,6162.05000000,6350.00000000,6055.55000000,6318.39000000,5836.61800000,5568.00600000,5408.32700000,67.63170873,-248.06757145,-481.13914547
20200320 08:00:00,6318.41000000,6900.00000000,6310.58000000,6614.66000000,6080.94200000,5695.10000000,5460.13000000,70.36010630,-155.15843838,-415.94300405
