Date,Open,High,Low,Close,5SMA,10SMA,20SMA,RSI,MACD,Signal
20250403 12:45:00,82188.01000000,82261.99000000,81889.30000000,81927.88000000,,,,,,
20250403 12:50:00,81927.87000000,82263.28000000,81901.53000000,82256.70000000,,,,,,
20250403 12:55:00,82256.69000000,82265.14000000,81932.09000000,81949.06000000,,,,,,
20250403 13:00:00,81949.06000000,82030.49000000,81855.30000000,82001.96000000,,,,,,
20250403 13:05:00,82001.97000000,82072.00000000,81800.00000000,81908.66000000,82008.85200000,,,,,
20250403 13:10:00,81908.66000000,82071.85000000,81889.94000000,81923.07000000,82007.89000000,,,,,
20250403 13:15:00,81923.06000000,82054.00000000,81851.50000000,81990.37000000,81954.62400000,,,,,
20250403 13:20:00,81990.38000000,81990.38000000,81793.06000000,81822.00000000,81929.21200000,,,,,
20250403 13:25:00,81822.00000000,82075.27000000,81822.00000000,82000.01000000,81928.82200000,,,,,
20250403 13:30:00,82000.01000000,82792.46000000,81942.00000000,82627.98000000,82072.68600000,82040.76900000,,,,
20250403 13:35:00,82627.98000000,82720.00000000,82185.71000000,82677.46000000,82223.56400000,82115.72700000,,,,
20250403 13:40:00,82677.45000000,82677.45000000,82262.48000000,82371.00000000,82299.69000000,82127.15700000,,,,
20250403 13:45:00,82371.00000000,82414.79000000,82150.00000000,82177.82000000,82370.85400000,82150.03300000,,,,
20250403 13:50:00,82177.82000000,82587.14000000,82172.29000000,82379.99000000,82446.85000000,82187.83600000,,58.72795858,,
20250403 13:55:00,82380.00000000,82492.20000000,82240.00000000,82373.58000000,82395.97000000,82234.32800000,,58.58297194,,
20250403 14:00:00,82373.57000000,82403.50000000,82007.68000000,82017.96000000,82264.07000000,82243.81700000,,45.44948575,,
20250403 14:05:00,82017.96000000,82192.00000000,81804.01000000,81910.01000000,82171.87200000,82235.78100000,,49.19435699,,
20250403 14:10:00,81910.01000000,82007.95000000,81658.70000000,81788.37000000,82093.98200000,82232.41800000,,45.71495063,,
20250403 14:15:00,81788.37000000,82143.48000000,81788.37000000,81966.00000000,82011.18400000,82229.01700000,,51.11270667,,
20250403 14:20:00,81966.00000000,82044.00000000,81837.83000000,81915.21000000,81919.51000000,82157.74000000,82099.25450000,49.84959701,,
20250403 14:25:00,81914.15000000,82308.49000000,81908.86000000,82296.01000000,81975.12000000,82119.59500000,82117.66100000,55.22197316,,
20250403 14:30:00,82296.00000000,82389.98000000,82068.00000000,82084.01000000,82009.92000000,82090.89600000,82109.02650000,54.41077940,,
20250403 14:35:00,82084.00000000,82132.07000000,81813.21000000,81909.52000000,82034.15000000,82064.06600000,82107.04950000,48.47484823,,
20250403 14:40:00,81909.52000000,82025.54000000,81744.00000000,81815.99000000,82004.14800000,82007.66600000,82097.75100000,33.30715622,,
20250403 14:45:00,81815.99000000,81827.24000000,81524.47000000,81539.28000000,81928.96200000,81924.23600000,82079.28200000,28.60065128,,
20250403 14:50:00,81539.27000000,81584.03000000,81314.61000000,81584.02000000,81786.56400000,81880.84200000,82062.32950000,33.58858220,-81.72972967,-13.48787228
20250403 14:55:00,81584.02000000,81642.39000000,81498.33000000,81532.00000000,81676.16200000,81843.04100000,82039.41100000,35.68978507,-104.56884115,-31.70406605
20250403 15:00:00,81532.00000000,81627.59000000,81463.22000000,81570.00000000,81608.25800000,81821.20400000,82026.81100000,30.64382769,-118.23972518,-49.01119788
20250403 15:05:00,81570.00000000,81578.27000000,81211.24000000,81356.98000000,81516.45600000,81760.30200000,81994.65950000,27.88981009,-144.59611893,-68.12818209
20250403 15:10:00,81356.97000000,81810.89000000,81353.38000000,81633.32000000,81535.26400000,81732.11300000,81944.92650000,41.33560996,-141.55367963,-82.81328160
20250403 15:15:00,81633.32000000,81897.43000000,81633.32000000,81817.34000000,81581.92800000,81684.24600000,81901.92050000,47.98168774,-122.87719665,-90.82606461
20250403 15:20:00,81817.34000000,81817.34000000,81570.43000000,81661.28000000,81607.78400000,81641.97300000,81866.43450000,47.27292234,-119.29354535,-96.51956076
20250403 15:25:00,81661.27000000,81893.00000000,81630.10000000,81714.71000000,81636.72600000,81622.49200000,81843.27900000,44.30426800,-110.86414852,-99.38847831
20250403 15:30:00,81714.70000000,81935.69000000,81714.70000000,81882.60000000,81741.85000000,81629.15300000,81818.40950000,49.29812100,-89.60357665,-97.43149798
20250403 15:35:00,81882.60000000,81882.60000000,81714.73000000,81880.00000000,81791.18600000,81663.22500000,81793.73050000,39.30483071,-72.13271748,-92.37174188
20250403 15:40:00,81880.00000000,82040.00000000,81828.22000000,81992.23000000,81826.16400000,81704.04600000,81792.44400000,47.51284497,-48.66987663,-83.63136883
20250403 15:45:00,81992.23000000,82000.00000000,81848.96000000,81911.99000000,81876.30600000,81742.04500000,81792.54300000,50.07053797,-36.13357821,-74.13181070
20250403 15:50:00,81911.99000000,81917.20000000,81683.52000000,81897.88000000,81912.94000000,81774.83300000,81798.01850000,52.44972807,-27.02549737,-64.71054804
20250403 15:55:00,81897.87000000,82101.42000000,81897.87000000,82039.31000000,81944.28200000,81843.06600000,81801.68400000,66.27564073,-8.29938848,-53.42831613
20250403 16:00:00,82039.32000000,82448.21000000,82018.24000000,82331.98000000,82034.67800000,81912.93200000,81822.52250000,70.96229947,29.81353887,-36.77994513
20250403 16:05:00,82331.99000000,82367.93000000,82079.21000000,82079.21000000,82052.07400000,81939.11900000,81811.68250000,63.78494667,39.17035046,-21.58988601
20250403 16:10:00,82079.22000000,82222.83000000,81980.00000000,82149.36000000,82099.54800000,81987.92700000,81814.95000000,64.36220847,51.65081138,-6.94174653
20250403 16:15:00,82149.36000000,82317.39000000,82038.92000000,82299.48000000,82179.86800000,82046.40400000,81834.44800000,74.11645497,72.81572166,9.00974711
20250403 16:20:00,82299.48000000,82320.76000000,82159.44000000,82221.07000000,82216.22000000,82080.25100000,81854.70200000,66.73423949,82.31317875,23.67043344
20250403 16:25:00,82221.08000000,82325.74000000,82049.05000000,82289.52000000,82207.72800000,82121.20300000,81892.21400000,64.39081777,94.27656333,37.79165941
20250403 16:30:00,82289.52000000,82350.77000000,81927.13000000,81927.32000000,82177.35000000,82114.71200000,81909.37900000,57.20311908,73.68176135,44.96967980
20250403 16:35:00,81927.33000000,82048.27000000,81916.55000000,82014.72000000,82150.42200000,82124.98500000,81933.51500000,57.97614680,63.67863431,48.71147070
20250403 16:40:00,82014.73000000,82186.96000000,82010.00000000,82021.89000000,82094.90400000,82137.38600000,81956.10950000,54.04924562,55.68770989,50.10671854
20250403 16:45:00,82021.89000000,82055.28000000,81877.62000000,82041.24000000,82058.93800000,82137.57900000,81990.32250000,54.64213739,50.33598608,50.15257205
20250403 16:50:00,82041.25000000,82043.41000000,81800.00000000,81822.01000000,81965.43600000,82086.58200000,81999.75700000,45.38373922,28.08097756,45.73825315
20250403 16:55:00,81822.00000000,81857.95000000,81715.55000000,81830.56000000,81946.08400000,82061.71700000,82000.41800000,47.70232674,11.00675746,38.79195401
20250403 17:00:00,81830.56000000,81908.25000000,81810.89000000,81834.11000000,81909.96200000,82030.19200000,82009.05950000,48.18984359,-2.21272275,30.59101866
20250403 17:05:00,81834.10000000,82035.63000000,81834.10000000,81863.00000000,81878.18400000,81986.54400000,82016.47400000,44.65374096,-10.24003377,22.42480817
20250403 17:10:00,81862.99000000,81943.37000000,81769.17000000,81854.29000000,81840.79400000,81949.86600000,82015.05850000,32.50155683,-17.10735684,14.51837517
20250403 17:15:00,81854.28000000,81965.59000000,81792.00000000,81861.78000000,81848.74800000,81907.09200000,82014.14750000,40.29044272,-21.69528965,7.27564221
20250403 17:20:00,81861.79000000,81908.82000000,81722.25000000,81800.00000000,81842.63600000,81894.36000000,82004.53600000,34.28147215,-29.97090322,-0.17366688
20250403 17:25:00,81800.00000000,81854.21000000,81669.02000000,81775.60000000,81830.93400000,81870.44800000,81997.71650000,23.42275614,-38.05953604,-7.75084071
20250403 17:30:00,81776.00000000,81795.66000000,81630.74000000,81780.00000000,81814.33400000,81846.25900000,81991.82250000,25.80712397,-43.61205991,-14.92308455
20250403 17:35:00,81779.99000000,82037.74000000,81764.02000000,81956.69000000,81834.81400000,81837.80400000,81987.69150000,33.68176425,-33.37039560,-18.61254676
20250403 17:40:00,81956.69000000,82144.08000000,81956.69000000,82100.00000000,81882.45800000,81865.60300000,81976.09250000,60.78010288,-13.53387347,-17.59681210
20250403 17:45:00,82100.00000000,82191.11000000,81938.78000000,81951.43000000,81912.74400000,81877.69000000,81969.70350000,46.32926957,-9.68994447,-16.01543858
20250403 17:50:00,81951.43000000,82018.01000000,81890.24000000,81934.02000000,81944.42800000,81887.68100000,81958.93650000,44.96348859,-7.95672437,-14.40369574
20250403 17:55:00,81934.02000000,81934.02000000,81810.10000000,81830.01000000,81954.43000000,81884.38200000,81935.46300000,38.96383452,-14.80520750,-14.48399809
20250403 18:00:00,81830.01000000,81959.88000000,81754.71000000,81766.45000000,81916.38200000,81875.59800000,81912.73200000,46.53322019,-25.07242125,-16.60168272
20250403 18:05:00,81766.44000000,81871.77000000,81736.55000000,81871.77000000,81870.73600000,81876.59700000,81891.84450000,52.29431349,-24.42921356,-18.16718889
20250403 18:10:00,81871.76000000,81871.76000000,81680.61000000,81694.96000000,81819.44200000,81866.09300000,81880.22650000,43.50585710,-37.75138173,-22.08402746
20250403 18:15:00,81694.96000000,81765.00000000,81557.58000000,81600.51000000,81752.74000000,81848.58400000,81859.51600000,38.45599036,-55.29323564,-28.72586909
20250403 18:20:00,81600.51000000,81750.75000000,81540.00000000,81638.54000000,81714.44600000,81834.43800000,81840.34850000,40.75010933,-65.37299883,-36.05529504
