Date,Open,High,Low,Close,5SMA,10SMA,20SMA,RSI,MACD,Signal
20200301 00:00:00,8523.61000000,8613.57000000,8511.11000000,8547.25000000,,,,,,
20200301 01:00:00,8546.65000000,8649.00000000,8514.06000000,8639.28000000,,,,,,
20200301 02:00:00,8640.23000000,8675.00000000,8617.73000000,8630.86000000,,,,,,
20200301 03:00:00,8631.94000000,8665.86000000,8616.45000000,8620.36000000,,,,,,
20200301 04:00:00,8620.17000000,8634.73000000,8560.45000000,8580.73000000,8603.69600000,,,,,
20200301 05:00:00,8580.72000000,8592.80000000,8538.00000000,8586.83000000,8611.61200000,,,,,
20200301 06:00:00,8586.50000000,8588.01000000,8521.00000000,8543.48000000,8592.45200000,,,,,
20200301 07:00:00,8543.57000000,8567.37000000,8520.58000000,8541.16000000,8574.51200000,,,,,
20200301 08:00:00,8541.15000000,8594.87000000,8518.00000000,8532.00000000,8556.84000000,,,,,
20200301 09:00:00,8531.29000000,8589.93000000,8522.00000000,8539.63000000,8548.62000000,8576.15800000,,,,
20200301 10:00:00,8540.08000000,8585.75000000,8539.64000000,8570.43000000,8545.34000000,8578.47600000,,,,
20200301 11:00:00,8570.43000000,8650.00000000,8550.34000000,8648.37000000,8566.31800000,8579.38500000,,,,
20200301 12:00:00,8647.42000000,8750.00000000,8558.00000000,8575.00000000,8573.08600000,8573.79900000,,,,
20200301 13:00:00,8574.67000000,8625.29000000,8535.24000000,8609.34000000,8588.55400000,8572.69700000,,57.12711495,,
20200301 14:00:00,8609.69000000,8629.31000000,8555.15000000,8565.00000000,8593.62800000,8571.12400000,,51.84922801,,
20200301 15:00:00,8564.78000000,8599.95000000,8542.45000000,8557.80000000,8591.10200000,8568.22100000,,39.68868641,,
20200301 16:00:00,8557.80000000,8582.73000000,8454.57000000,8522.30000000,8565.88800000,8566.10300000,,37.14292482,,
20200301 17:00:00,8523.13000000,8529.97000000,8460.90000000,8500.00000000,8550.88800000,8561.98700000,,36.13300152,,
20200301 18:00:00,8499.87000000,8512.10000000,8456.22000000,8457.63000000,8520.54600000,8554.55000000,,35.90630152,,
20200301 19:00:00,8458.03000000,8571.86000000,8411.00000000,8542.20000000,8515.98600000,8554.80700000,8565.48250000,45.66858829,,
20200301 20:00:00,8541.22000000,8565.24000000,8488.00000000,8492.20000000,8502.86600000,8546.98400000,8562.73000000,45.08661659,,
20200301 21:00:00,8492.21000000,8540.09000000,8470.00000000,8526.44000000,8503.69400000,8534.79100000,8557.08800000,48.67090436,,
20200301 22:00:00,8526.41000000,8583.00000000,8516.00000000,8561.75000000,8516.04400000,8533.46600000,8553.63250000,52.56505320,,
20200301 23:00:00,8561.56000000,8591.82000000,8530.07000000,8531.88000000,8530.89400000,8525.72000000,8549.20850000,49.35647264,,
20200302 00:00:00,8530.30000000,8572.22000000,8498.00000000,8558.04000000,8534.06200000,8525.02400000,8548.07400000,48.96319727,,
20200302 01:00:00,8559.30000000,8572.54000000,8518.50000000,8560.40000000,8547.70200000,8525.28400000,8546.75250000,41.57262468,-5.31266385,-7.11556328
20200302 02:00:00,8560.28000000,8651.90000000,8556.82000000,8626.06000000,8567.62600000,8535.66000000,8550.88150000,54.96480106,1.71514289,-5.34942204
20200302 03:00:00,8625.20000000,8648.63000000,8601.01000000,8601.99000000,8575.67400000,8545.85900000,8553.92300000,49.27076099,5.28159954,-3.22321773
20200302 04:00:00,8601.99000000,8645.00000000,8596.36000000,8643.24000000,8597.94600000,8564.42000000,8559.48500000,57.81056583,11.30624107,-0.31732597
20200302 05:00:00,8643.32000000,8663.43000000,8620.24000000,8658.00000000,8617.93800000,8576.00000000,8565.40350000,59.85405767,17.07499166,3.16113756
20200302 06:00:00,8658.01000000,8699.50000000,8624.56000000,8624.89000000,8630.83600000,8589.26900000,8568.12650000,60.13675079,18.75882769,6.28067559
20200302 07:00:00,8624.78000000,8650.00000000,8602.48000000,8625.39000000,8630.70200000,8599.16400000,8566.97750000,62.94735973,19.90418267,9.00537700
20200302 08:00:00,8625.39000000,8671.37000000,8619.63000000,8665.07000000,8643.31800000,8609.49600000,8571.48100000,71.53922831,23.74006839,11.95231528
20200302 09:00:00,8666.05000000,8712.66000000,8652.82000000,8697.04000000,8654.07800000,8626.01200000,8575.86600000,68.04914440,29.02516326,15.36688488
