Date,Open,High,Low,Close,5SMA,10SMA,20SMA,RSI,MACD,Signal
20250327 22:45:00,87348.73000000,87433.97000000,87309.97000000,87350.71000000,87413.76200000,87401.23900000,87299.37300000,49.52512988358736,113.79701460912474,121.81488565232709
20250327 23:00:00,87350.70000000,87361.07000000,87154.03000000,87190.01000000,87338.02800000,87388.69700000,87302.25800000,46.109421885707405,92.35816315884585,115.92354115363085
20250327 23:15:00,87190.01000000,87291.50000000,87184.00000000,87291.50000000,87312.97600000,87387.09000000,87314.43800000,58.50890693923831,82.60489591822261,109.2598121065492
20250327 23:30:00,87291.50000000,87339.63000000,87128.33000000,87155.15000000,87267.22000000,87372.60600000,87305.02600000,57.09286366151397,63.14515781325463,100.03688124789029
20250327 23:45:00,87155.14000000,87259.83000000,87128.01000000,87232.01000000,87243.87600000,87357.08200000,87306.30050000,51.0722158034038,53.3106033684744,90.69162567200712
20250328 00:00:00,87232.01000000,87251.73000000,87021.74000000,87064.73000000,87186.68000000,87300.22100000,87292.03700000,40.192166251975856,31.653666371916188,78.88403381198893
20250328 00:15:00,87064.73000000,87123.89000000,86970.00000000,86970.00000000,87142.67800000,87240.35300000,87272.33700000,37.634164389382555,6.768446031346684,64.46091625586048
20250328 00:30:00,86970.00000000,87209.57000000,86929.58000000,87209.57000000,87126.29200000,87219.63400000,87267.46750000,47.168925180973474,6.3053423909441335,52.829801482877215
20250328 00:45:00,87209.57000000,87402.08000000,87155.42000000,87354.01000000,87166.06400000,87216.64200000,87282.14750000,48.995223988875985,17.39293535197794,45.74242825669736
20250328 01:00:00,87354.01000000,87373.98000000,87149.99000000,87163.84000000,87152.43000000,87198.15300000,87292.45250000,35.31141673653801,10.711329434256186,38.73620849220912
20250328 01:15:00,87163.84000000,87218.63000000,87116.00000000,87169.58000000,87173.40000000,87180.04000000,87290.63950000,37.03597832724865,5.812278308585519,32.1514224554844
20250328 01:30:00,87169.58000000,87515.67000000,87121.00000000,87505.32000000,87280.46400000,87211.57100000,87300.13400000,52.569816839613104,28.69043166245683,31.459224296878887
20250328 01:45:00,87505.32000000,87505.32000000,87200.00000000,87230.29000000,87284.60800000,87205.45000000,87296.27000000,46.09114222909723,24.34823919995688,30.037027277494484
20250328 02:00:00,87230.30000000,87308.00000000,87156.05000000,87232.01000000,87260.20800000,87213.13600000,87292.87100000,46.978983331607864,20.80597172419948,28.190816166835482
20250328 02:15:00,87232.01000000,87327.98000000,87232.01000000,87247.94000000,87277.02800000,87214.72900000,87285.90550000,47.3591160220994,19.064355078255176,26.36552394911942
20250328 02:30:00,87247.94000000,87249.04000000,87047.56000000,87090.18000000,87261.14800000,87217.27400000,87258.74750000,47.43078324694643,4.897739699474187,22.071967099190374
20250328 02:45:00,87090.18000000,87169.70000000,86950.75000000,86987.77000000,87157.63800000,87219.05100000,87229.70200000,42.18692925457775,-14.426733770495048,14.772226925253289
20250328 03:00:00,86987.78000000,87018.36000000,86781.39000000,86867.93000000,87085.16600000,87184.88700000,87202.26050000,42.548333869511616,-38.96246958007396,4.025287624187838
20250328 03:15:00,86867.93000000,86943.49000000,86768.44000000,86800.00000000,86998.76400000,87129.48600000,87173.06400000,38.739710888343524,-63.16052504819527,-9.411874910288784
20250328 03:30:00,86800.00000000,86891.40000000,86800.00000000,86844.14000000,86918.00400000,87097.51600000,87147.83450000,43.855945185639264,-77.87819785031024,-23.105139498293077
20250328 03:45:00,86844.14000000,86859.43000000,86750.00000000,86787.16000000,86857.40000000,87059.27400000,87119.65700000,44.79799704108358,-93.06705035509367,-37.0975216696532
20250328 04:00:00,86787.17000000,86832.64000000,86762.49000000,86774.43000000,86814.73200000,86986.18500000,87098.87800000,35.784941459334945,-104.92205388045113,-50.66242811181279
20250328 04:15:00,86774.44000000,86783.56000000,86679.24000000,86712.09000000,86783.56400000,86934.36500000,87069.90750000,27.841293511730314,-117.98746058685356,-64.12743460682094
20250328 04:30:00,86712.09000000,86712.09000000,86086.38000000,86251.57000000,86673.87800000,86836.32100000,87024.72850000,23.462162775409283,-163.6159420737822,-84.02513610021319
20250328 04:45:00,86251.57000000,86363.63000000,85952.54000000,86305.38000000,86566.12600000,86742.06500000,86978.39700000,25.544462555465344,-193.20764760258317,-105.86163840068718
20250328 05:00:00,86305.38000000,86305.38000000,86050.00000000,86075.93000000,86423.88000000,86640.64000000,86928.95700000,6.961381195840289,-232.49393942598545,-131.18809860574683
20250328 05:15:00,86075.93000000,86200.69000000,85942.23000000,85975.71000000,86264.13600000,86539.43400000,86879.24250000,7.780425096582661,-268.61905194373685,-158.67428927334484
