Date,Open,High,Low,Close,5SMA,10SMA,20SMA,RSI,MACD,Signal
20200302 22:00:00,8935.75000000,8965.75000000,8877.00000000,8915.24000000,8886.19800000,8799.91800000,8680.86150000,86.58115635,,
20200303 00:00:00,8911.18000000,8919.65000000,8813.82000000,8815.77000000,8883.51000000,8815.69500000,8694.66850000,74.37119898,,
20200303 02:00:00,8815.77000000,8887.55000000,8804.16000000,8866.60000000,8883.16400000,8839.81600000,8705.58000000,76.19174309,74.05309648,54.13178184
20200303 04:00:00,8865.90000000,8867.89000000,8812.00000000,8850.49000000,8876.63800000,8855.16100000,8717.63750000,73.14904959,72.03021165,57.71146780
20200303 06:00:00,8850.49000000,8853.72000000,8746.42000000,8756.08000000,8840.83600000,8854.93400000,8727.55150000,61.34031999,62.09319121,58.58781249
20200303 08:00:00,8755.64000000,8825.33000000,8735.37000000,8821.09000000,8822.00600000,8854.10200000,8743.60600000,61.84575604,58.78614453,58.62747889
20200303 10:00:00,8822.11000000,8866.96000000,8800.00000000,8858.22000000,8830.49600000,8857.00300000,8759.40700000,66.80088323,58.48716329,58.59941577
20200303 12:00:00,8858.45000000,8898.74000000,8760.83000000,8798.14000000,8816.80400000,8849.98400000,8772.99200000,57.41920333,52.79369179,57.43827098
20200303 14:00:00,8798.14000000,8884.86000000,8675.45000000,8753.01000000,8797.30800000,8836.97300000,8784.04850000,49.59859282,44.13124328,54.77686544
20200303 16:00:00,8753.01000000,8781.25000000,8651.00000000,8718.99000000,8789.89000000,8815.36300000,8791.97800000,41.21027829,34.12765834,50.64702402
20200303 18:00:00,8718.99000000,8728.00000000,8670.00000000,8713.97000000,8768.46600000,8795.23600000,8797.57700000,40.89645148,25.50071676,45.61776257
20200303 20:00:00,8714.11000000,8744.00000000,8683.24000000,8733.13000000,8743.44800000,8786.97200000,8801.33350000,38.97190773,19.97954355,40.49011876
20200303 22:00:00,8733.28000000,8790.00000000,8724.75000000,8760.07000000,8735.83400000,8776.31900000,8808.06750000,40.15804713,17.57521076,35.90713716
20200304 00:00:00,8760.07000000,8821.00000000,8728.00000000,8793.95000000,8744.02200000,8770.66500000,8812.91300000,38.37473643,18.19386500,32.36448273
20200304 02:00:00,8793.70000000,8835.01000000,8783.04000000,8790.18000000,8758.26000000,8774.07500000,8814.50450000,39.41891160,18.17048739,29.52568366
20200304 04:00:00,8788.99000000,8847.99000000,8783.00000000,8839.75000000,8783.41600000,8775.94100000,8815.02150000,52.21602040,21.89940250,28.00042743
20200304 06:00:00,8839.97000000,8848.29000000,8774.58000000,8816.27000000,8800.04400000,8771.74600000,8814.37450000,45.10132176,22.69830292,26.94000253
20200304 08:00:00,8816.32000000,8829.40000000,8785.00000000,8795.06000000,8807.04200000,8771.43800000,8810.71100000,44.65796727,21.37358613,25.82671925
20200304 10:00:00,8795.06000000,8795.06000000,8694.07000000,8717.12000000,8791.67600000,8767.84900000,8802.41100000,46.12214835,13.87469307,23.43631401
20200304 12:00:00,8717.21000000,8761.77000000,8702.29000000,8756.45000000,8784.93000000,8771.59500000,8793.47900000,43.21948559,10.97881169,20.94481355
20200304 14:00:00,8756.13000000,8782.31000000,8660.00000000,8700.00000000,8756.98000000,8770.19800000,8782.71700000,34.04976007,4.08171019,17.57219287
20200304 16:00:00,8700.00000000,8735.36000000,8670.00000000,8723.00000000,8738.32600000,8769.18500000,8778.07850000,41.81303116,0.46624081,14.15100246
20200304 18:00:00,8723.00000000,8746.00000000,8665.00000000,8739.58000000,8727.23000000,8767.13600000,8771.72750000,48.43964215,-1.04908410,11.11098515
20200304 20:00:00,8738.94000000,8739.53000000,8688.03000000,8724.52000000,8728.71000000,8760.19300000,8765.42900000,50.67211162,-3.42571662,8.20364480
20200304 22:00:00,8723.90000000,8761.52000000,8719.64000000,8750.87000000,8727.59400000,8756.26200000,8765.16850000,54.26372712,-3.14671683,5.93357247
20200305 00:00:00,8750.99000000,8884.40000000,8746.54000000,8873.42000000,8762.27800000,8759.62900000,8767.78500000,63.08406857,6.88380114,6.12361820
20200305 02:00:00,8872.58000000,8941.53000000,8855.00000000,8869.82000000,8791.64200000,8764.98400000,8768.36500000,60.70167912,14.37684170,7.77426290
20200305 04:00:00,8869.68000000,8934.00000000,8862.00000000,8922.37000000,8828.20000000,8777.71500000,8774.57650000,62.08226705,24.27564167,11.07453866
20200305 06:00:00,8922.31000000,8942.00000000,8880.00000000,8895.05000000,8862.30600000,8795.50800000,8781.67850000,59.44791798,29.57509302,14.77464953
20200305 08:00:00,8895.24000000,9097.86000000,8891.36000000,9080.12000000,8928.15600000,8827.87500000,8799.73500000,67.40575533,48.15346552,21.45041273
20200305 10:00:00,9080.08000000,9122.62000000,9043.02000000,9100.89000000,8973.65000000,8867.96400000,8819.08100000,70.69120940,63.81727913,29.92378601
20200305 12:00:00,9100.59000000,9136.63000000,9050.96000000,9081.95000000,9016.07600000,8903.85900000,8836.52200000,70.92529649,73.85135214,38.70929923
20200305 14:00:00,9080.90000000,9096.15000000,9011.98000000,9085.48000000,9048.69800000,8938.44900000,8852.79250000,80.13909344,81.15278994,47.19799738
20200305 16:00:00,9085.52000000,9122.99000000,9062.76000000,9093.78000000,9088.44400000,8975.37500000,8867.78400000,79.07666316,86.61057979,55.08051386
20200305 18:00:00,9094.09000000,9150.90000000,9075.93000000,9150.90000000,9102.60000000,9015.37800000,8885.82000000,88.82115921,94.45619201,62.95564949
20200305 20:00:00,9150.80000000,9159.42000000,9071.00000000,9100.04000000,9102.43000000,9038.04000000,8898.83450000,80.97601052,95.46940737,69.45840106
20200305 22:00:00,9100.27000000,9112.22000000,9015.00000000,9054.68000000,9096.97600000,9056.52600000,8910.75500000,74.71837836,91.55680508,73.87808187
20200306 00:00:00,9054.64000000,9068.51000000,8985.50000000,9020.00000000,9083.88000000,9066.28900000,8922.00200000,72.48706240,84.68149781,76.03876505
20200306 02:00:00,9020.00000000,9081.94000000,9013.84000000,9033.59000000,9071.84200000,9080.14300000,8937.82550000,71.94213337,79.41393231,76.71379851
20200306 04:00:00,9032.87000000,9114.00000000,9013.05000000,9107.86000000,9063.23400000,9082.91700000,8955.39600000,69.66910531,80.30659259,77.43235732
20200306 06:00:00,9107.86000000,9138.31000000,9087.02000000,9100.91000000,9063.40800000,9082.91900000,8975.44150000,69.27967162,79.53637950,77.85316176
20200306 08:00:00,9101.62000000,9127.97000000,9070.00000000,9111.67000000,9074.80600000,9085.89100000,8994.87500000,66.97696944,78.88488630,78.05950667
20200306 10:00:00,9111.84000000,9170.00000000,9090.00000000,9127.92000000,9096.39000000,9090.13500000,9014.29200000,71.30753042,78.77178038,78.20196141
20200306 12:00:00,9129.12000000,9130.29000000,9042.00000000,9060.87000000,9101.84600000,9086.84400000,9031.10950000,47.75342530,72.43676257,77.04892164
20200306 14:00:00,9060.97000000,9100.00000000,9000.00000000,9001.40000000,9080.55400000,9071.89400000,9043.63600000,39.35093015,61.90389378,74.01991607
20200306 16:00:00,9001.70000000,9082.95000000,9000.00000000,9073.75000000,9075.12200000,9069.26500000,9053.65250000,49.21235640,58.71769864,70.95947258
20200306 18:00:00,9073.74000000,9101.35000000,9057.12000000,9085.12000000,9069.81200000,9072.30900000,9064.41750000,49.96593361,56.45925289,68.05942864
20200306 20:00:00,9084.62000000,9119.56000000,9083.48000000,9114.78000000,9067.18400000,9081.78700000,9074.03800000,51.90999382,56.41244494,65.73003190
20200306 22:00:00,9113.98000000,9137.50000000,9058.30000000,9131.88000000,9081.38600000,9091.61600000,9085.87950000,48.13426980,57.09699774,64.00342507
20200307 00:00:00,9130.89000000,9143.55000000,9075.01000000,9092.50000000,9099.60600000,9090.08000000,9086.49850000,49.24333654,53.84122574,61.97098520
20200307 02:00:00,9093.72000000,9114.77000000,9073.03000000,9089.95000000,9102.84600000,9088.98400000,9085.95150000,53.87216477,50.47341320,59.67147080
20200307 04:00:00,9089.57000000,9107.25000000,9058.33000000,9075.76000000,9100.97400000,9085.39300000,9085.64200000,56.41007955,46.12765222,56.96270709
20200307 06:00:00,9075.92000000,9096.01000000,9050.00000000,9085.23000000,9095.06400000,9081.12400000,9085.62950000,55.99322223,42.95262408,54.16069049
20200307 08:00:00,9085.23000000,9114.04000000,9078.06000000,9111.73000000,9091.03400000,9086.21000000,9086.52700000,50.50515598,42.08953795,51.74645998
20200307 10:00:00,9111.64000000,9116.97000000,9072.65000000,9089.00000000,9090.33400000,9094.97000000,9083.43200000,48.50688263,39.12045863,49.22125971
20200307 12:00:00,9089.00000000,9135.94000000,9069.30000000,9087.79000000,9089.90200000,9096.37400000,9082.81950000,46.93279901,36.25191548,46.62739086
20200307 14:00:00,9087.71000000,9120.29000000,9082.06000000,9113.61000000,9097.47200000,9099.22300000,9085.76600000,48.20609252,35.65106924,44.43212654
20200307 16:00:00,9113.46000000,9188.00000000,8859.00000000,8925.00000000,9065.42600000,9080.24500000,9081.01600000,36.94586960,19.72822881,39.49134699
20200307 18:00:00,8925.00000000,8925.00000000,8835.00000000,8884.79000000,9020.03800000,9055.53600000,9073.57600000,38.36575875,3.82061048,32.35719969
20200307 20:00:00,8884.91000000,8893.60000000,8853.93000000,8877.92000000,8977.82200000,9034.07800000,9062.07900000,27.52542062,-9.23419716,24.03892032
20200307 22:00:00,8878.32000000,8919.00000000,8867.50000000,8886.66000000,8937.59600000,9013.74900000,9051.36650000,27.08525771,-18.65988182,15.49915989
20200308 00:00:00,8885.25000000,8886.76000000,8710.00000000,8759.79000000,8866.83200000,8982.15200000,9033.77250000,16.52616690,-35.95271302,5.20878531
20200308 02:00:00,8759.61000000,8774.99000000,8695.73000000,8747.58000000,8831.34800000,8948.38700000,9014.75550000,13.42507995,-50.06552706,-5.84607716
20200308 04:00:00,8746.92000000,8750.02000000,8716.00000000,8717.47000000,8797.88400000,8908.96100000,8997.58550000,13.66622101,-62.95396511,-17.26765475
20200308 06:00:00,8717.77000000,8754.99000000,8701.00000000,8740.29000000,8770.35800000,8874.09000000,8984.53000000,17.40435528,-70.51392124,-27.91690805
20200308 08:00:00,8740.59000000,8744.00000000,8706.00000000,8712.74000000,8735.57400000,8836.58500000,8966.47950000,16.98137234,-77.83110714,-37.89974787
20200308 10:00:00,8710.39000000,8752.36000000,8670.00000000,8741.53000000,8731.92200000,8799.37700000,8949.30000000,19.80001406,-80.38034273,-46.39586684
20200308 12:00:00,8741.30000000,8747.43000000,8626.98000000,8651.40000000,8712.68600000,8772.01700000,8926.13100000,13.62005469,-88.65144933,-54.84698334
20200308 14:00:00,8652.29000000,8672.52000000,8321.00000000,8400.83000000,8649.35800000,8723.62100000,8889.57850000,10.01382901,-114.10987816,-66.69956230
20200308 16:00:00,8400.85000000,8403.00000000,8149.27000000,8309.91000000,8563.28200000,8666.82000000,8850.44900000,9.06842626,-140.00842066,-81.36133397
20200308 18:00:00,8309.90000000,8318.73000000,8260.03000000,8280.11000000,8476.75600000,8606.16500000,8809.95700000,6.32466988,-161.08097195,-97.30526157
20200308 20:00:00,8281.51000000,8300.00000000,8200.01000000,8247.74000000,8377.99800000,8554.96000000,8768.55600000,7.56303574,-178.33734721,-113.51167870
20200308 22:00:00,8247.94000000,8277.75000000,8000.00000000,8033.31000000,8254.38000000,8483.53300000,8715.96000000,6.20769816,-206.93049196,-132.19544135
20200309 00:00:00,8034.76000000,8179.31000000,8011.10000000,8084.93000000,8191.20000000,8420.27900000,8664.62000000,11.01059070,-222.85651145,-150.32765537
20200309 02:00:00,8085.00000000,8100.00000000,7970.00000000,8063.52000000,8141.92200000,8352.60200000,8613.34600000,10.02622378,-234.50240692,-167.16260568
20200309 04:00:00,8063.52000000,8066.39000000,7675.28000000,7932.05000000,8072.31000000,8274.53300000,8555.55900000,9.98162831,-251.44192723,-184.01846999
20200309 06:00:00,7932.18000000,8002.00000000,7851.00000000,7899.71000000,8002.70400000,8190.35100000,8494.86400000,9.79105214,-264.42802517,-200.10038103
20200309 08:00:00,7899.72000000,7991.08000000,7868.68000000,7888.54000000,7973.75000000,8114.06500000,8443.04100000,9.97015617,-272.47994777,-214.57629437
20200309 10:00:00,7888.54000000,7929.22000000,7760.00000000,7804.92000000,7917.74800000,8054.47400000,8389.04750000,7.33540718,-282.35379086,-228.13179367
20200309 12:00:00,7803.64000000,7946.00000000,7706.38000000,7803.09000000,7865.66200000,8003.79200000,8335.30600000,7.51165376,-287.01798369,-239.90903168
20200309 14:00:00,7803.11000000,7841.67000000,7632.01000000,7765.32000000,7832.31600000,7952.31300000,8279.23900000,4.78206494,-290.41439707,-250.01010475
20200309 16:00:00,7765.32000000,7878.99000000,7689.00000000,7734.35000000,7799.24400000,7900.97400000,8227.96700000,5.05934587,-292.23638023,-258.45535985
20200309 18:00:00,7736.10000000,7903.52000000,7726.03000000,7842.03000000,7789.94200000,7881.84600000,8182.68950000,18.15591520,-281.74367325,-263.11302253
20200309 20:00:00,7842.04000000,7888.98000000,7791.40000000,7829.82000000,7794.92200000,7856.33500000,8138.30700000,19.94516020,-271.28615441,-264.74764891
20200309 22:00:00,7830.38000000,7947.57000000,7826.11000000,7929.87000000,7820.27800000,7842.97000000,8097.78600000,29.84670978,-252.02016495,-262.20215212
20200310 00:00:00,7929.87000000,7969.87000000,7892.18000000,7905.52000000,7848.31800000,7840.31700000,8057.42500000,30.12475027,-235.99615424,-256.96095254
20200310 02:00:00,7905.52000000,7926.92000000,7850.00000000,7907.16000000,7882.88000000,7841.06200000,8015.70650000,40.26815608,-220.62148882,-249.69305980
20200310 04:00:00,7908.29000000,7952.65000000,7905.07000000,7934.44000000,7901.36200000,7845.65200000,7979.85850000,37.93744690,-203.88542344,-240.53153253
20200310 06:00:00,7934.44000000,7952.29000000,7866.04000000,7900.14000000,7915.42600000,7855.17400000,7954.82400000,37.16937865,-191.18582324,-230.66239067
20200310 08:00:00,7900.89000000,7930.00000000,7875.00000000,7887.79000000,7907.01000000,7863.64400000,7933.71800000,45.72416725,-180.04242339,-220.53839721
